 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  8.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.499249905    
 # Filling Error:   3.34428996E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       1.30281132E-03   1.12304783    
  -11.9600000       1.31902506E-03   1.12789392    
  -11.9200001       1.34165969E-03   1.14351344    
  -11.8800001       1.36839563E-03   1.14204347    
  -11.8400002       1.41265127E-03   1.14712512    
  -11.8000002       1.44012773E-03   1.16018319    
  -11.7600002       1.46890862E-03   1.15473664    
  -11.7200003       1.51121058E-03   1.13592684    
  -11.6800003       1.53507607E-03   1.12875557    
  -11.6400003       1.57958991E-03   1.12829244    
  -11.6000004       1.61069224E-03   1.11090469    
  -11.5600004       1.64772617E-03   1.11815751    
  -11.5200005       1.69365562E-03   1.11468196    
  -11.4800005       1.69757113E-03   1.10655916    
  -11.4400005       1.76264264E-03   1.09433281    
  -11.4000006       1.80909212E-03   1.09651971    
  -11.3600006       1.85137219E-03   1.08812070    
  -11.3200006       1.88974594E-03   1.07994127    
  -11.2800007       1.92516018E-03   1.08220422    
  -11.2400007       1.94362528E-03   1.07363296    
  -11.2000008       2.02440470E-03   1.06472290    
  -11.1600008       2.04457203E-03   1.06444621    
  -11.1200008       2.13104836E-03   1.06105053    
  -11.0800009       2.18793354E-03   1.05609977    
  -11.0400009       2.20919470E-03   1.05567241    
  -11.0000010       2.28079711E-03   1.05327368    
  -10.9600010       2.34864024E-03   1.04769361    
  -10.9200010       2.38490617E-03   1.04371202    
  -10.8800011       2.47771130E-03   1.04428744    
  -10.8400011       2.54171202E-03   1.03697383    
  -10.8000011       2.60775373E-03   1.03925920    
  -10.7600012       2.70007993E-03   1.03433943    
  -10.7200012       2.74888868E-03   1.02993059    
  -10.6800013       2.82814261E-03   1.02569115    
  -10.6400013       2.89780740E-03   1.02208114    
  -10.6000013       3.00026638E-03   1.01862133    
  -10.5600014       3.10686999E-03   1.00982487    
  -10.5200014       3.26642045E-03   1.00440836    
  -10.4800014       3.37008387E-03  0.989879787    
  -10.4400015       3.48598300E-03  0.986659706    
  -10.4000015       3.51860328E-03  0.985368431    
  -10.3600016       3.54952877E-03  0.988352239    
  -10.3200016       3.65942088E-03  0.988360822    
  -10.2800016       3.81699228E-03  0.984399140    
  -10.2400017       3.78278759E-03  0.986604273    
  -10.2000017       3.83843482E-03  0.987808883    
  -10.1600018       3.99417337E-03  0.984443247    
  -10.1200018       4.10638656E-03  0.985198975    
  -10.0800018       4.12604073E-03  0.987198770    
  -10.0400019       4.24356712E-03  0.984694600    
  -10.0000019       4.54903627E-03  0.966452599    
  -9.96000195       4.81939549E-03  0.953554034    
  -9.92000198       5.08368528E-03  0.948496938    
  -9.88000202       5.27707255E-03  0.943645418    
  -9.84000206       5.59368264E-03  0.944812596    
  -9.80000210       5.84594673E-03  0.939719975    
  -9.76000214       6.04791008E-03  0.940105438    
  -9.72000217       6.36295462E-03  0.938986182    
  -9.68000221       6.69580325E-03  0.939039409    
  -9.64000225       7.00515183E-03  0.938035488    
  -9.60000229       7.51968194E-03  0.939699352    
  -9.56000233       7.79338460E-03  0.940185845    
  -9.52000237       8.24742112E-03  0.940340340    
  -9.48000240       8.70341342E-03  0.941457748    
  -9.44000244       9.15465783E-03  0.941930473    
  -9.40000248       9.74869449E-03  0.945530593    
  -9.36000252       1.02788704E-02  0.944771826    
  -9.32000256       1.08225606E-02  0.946507096    
  -9.28000259       1.15565285E-02  0.948235929    
  -9.24000263       1.22035164E-02  0.949407578    
  -9.20000267       1.27515392E-02  0.951031864    
  -9.16000271       1.33710336E-02  0.953285098    
  -9.12000275       1.43313538E-02  0.953560710    
  -9.08000278       1.51740555E-02  0.954402924    
  -9.04000282       1.64956301E-02  0.953706801    
  -9.00000286       1.81543604E-02  0.946977198    
  -8.96000290       2.08091047E-02  0.913886309    
  -8.92000294       2.14892440E-02  0.904313385    
  -8.88000298       2.15688832E-02  0.903965473    
  -8.84000301       2.15638410E-02  0.904825389    
  -8.80000305       2.14435030E-02  0.904556870    
  -8.76000309       2.17744671E-02  0.903781056    
  -8.72000313       2.16229074E-02  0.904048145    
  -8.68000317       2.18273401E-02  0.905609846    
  -8.64000320       2.19433550E-02  0.903325975    
  -8.60000324       2.17293482E-02  0.903490782    
  -8.56000328       2.20459327E-02  0.903558075    
  -8.52000332       2.19058301E-02  0.903391898    
  -8.48000336       2.19225213E-02  0.906387389    
  -8.44000340       2.17613690E-02  0.908252001    
  -8.40000343       2.17319597E-02  0.910128176    
  -8.36000347       2.16729064E-02  0.910106838    
  -8.32000351       2.16264408E-02  0.911581874    
  -8.28000355       2.16104928E-02  0.911493719    
  -8.24000359       2.15271935E-02  0.911335051    
  -8.20000362       2.15606876E-02  0.911734045    
  -8.16000366       2.13444736E-02  0.911784887    
  -8.12000370       2.13342085E-02  0.912037849    
  -8.08000374       2.14232374E-02  0.911874115    
  -8.04000378       2.14083847E-02  0.911911190    
  -8.00000381       2.13365350E-02  0.911739171    
  -7.96000385       2.12449189E-02  0.911678910    
  -7.92000389       2.12266818E-02  0.911331415    
  -7.88000393       2.12295614E-02  0.910950065    
  -7.84000397       2.12492943E-02  0.910655141    
  -7.80000401       2.12421715E-02  0.911367655    
  -7.76000404       2.11497117E-02  0.911871731    
  -7.72000408       2.11482961E-02  0.910682738    
  -7.68000412       2.11539511E-02  0.910881221    
  -7.64000416       2.08910406E-02  0.910168171    
  -7.60000420       2.09259614E-02  0.910851240    
  -7.56000423       2.09616851E-02  0.910644770    
  -7.52000427       2.08341591E-02  0.908703804    
  -7.48000431       2.08156165E-02  0.908872247    
  -7.44000435       2.07358487E-02  0.908867478    
  -7.40000439       2.07092334E-02  0.908216417    
  -7.36000443       2.05413923E-02  0.909360051    
  -7.32000446       2.05584392E-02  0.907930553    
  -7.28000450       2.04511136E-02  0.907850564    
  -7.24000454       2.04932354E-02  0.907748282    
  -7.20000458       2.06615869E-02  0.907778442    
  -7.16000462       2.07602829E-02  0.907975972    
  -7.12000465       2.10380927E-02  0.908323765    
  -7.08000469       2.10686363E-02  0.908518255    
  -7.04000473       2.13341527E-02  0.908335388    
  -7.00000477       2.14813054E-02  0.909312367    
  -6.96000481       2.20828149E-02  0.897290528    
  -6.92000484       2.39511430E-02  0.870992601    
  -6.88000488       2.48230454E-02  0.860874534    
  -6.84000492       2.54219640E-02  0.851971686    
  -6.80000496       2.60724202E-02  0.845389962    
  -6.76000500       2.68107615E-02  0.836857319    
  -6.72000504       2.73136403E-02  0.834059715    
  -6.68000507       2.77619641E-02  0.827877998    
  -6.64000511       2.80346293E-02  0.824316382    
  -6.60000515       2.84668114E-02  0.819868028    
  -6.56000519       2.89998725E-02  0.816524863    
  -6.52000523       2.91609559E-02  0.812730134    
  -6.48000526       2.96554621E-02  0.809490740    
  -6.44000530       2.99889538E-02  0.804987967    
  -6.40000534       3.03474590E-02  0.804093957    
  -6.36000538       3.08399498E-02  0.800047755    
  -6.32000542       3.09894979E-02  0.796296060    
  -6.28000546       3.10744047E-02  0.796894312    
  -6.24000549       3.13731581E-02  0.792949378    
  -6.20000553       3.17164473E-02  0.789899170    
  -6.16000557       3.21638212E-02  0.787670672    
  -6.12000561       3.22262906E-02  0.785017908    
  -6.08000565       3.23545188E-02  0.783587039    
  -6.04000568       3.28047797E-02  0.780112505    
  -6.00000572       3.31242979E-02  0.779973865    
  -5.96000576       3.34933102E-02  0.777051032    
  -5.92000580       3.32491174E-02  0.775281370    
  -5.88000584       3.38046923E-02  0.770688593    
  -5.84000587       3.38614061E-02  0.770487845    
  -5.80000591       3.41914557E-02  0.766946316    
  -5.76000595       3.43519375E-02  0.766651511    
  -5.72000599       3.47234346E-02  0.763540030    
  -5.68000603       3.48894149E-02  0.763278902    
  -5.64000607       3.49712893E-02  0.761030257    
  -5.60000610       3.49566154E-02  0.758468211    
  -5.56000614       3.55453789E-02  0.756553292    
  -5.52000618       3.58272381E-02  0.755051911    
  -5.48000622       3.55664082E-02  0.752471864    
  -5.44000626       3.61960605E-02  0.749244153    
  -5.40000629       3.62970568E-02  0.747931600    
  -5.36000633       3.63715552E-02  0.747494519    
  -5.32000637       3.63353044E-02  0.745196700    
  -5.28000641       3.67526673E-02  0.742672741    
  -5.24000645       3.68650258E-02  0.741585970    
  -5.20000648       3.70184965E-02  0.738324702    
  -5.16000652       3.73202115E-02  0.737105489    
  -5.12000656       3.70097309E-02  0.738001525    
  -5.08000660       3.75165753E-02  0.733408153    
  -5.04000664       3.77349369E-02  0.730899215    
  -5.00000668       3.79686728E-02  0.729467988    
  -4.96000671       3.80193256E-02  0.728269100    
  -4.92000675       3.82278785E-02  0.726104617    
  -4.88000679       3.81284356E-02  0.724020183    
  -4.84000683       3.89919914E-02  0.721625984    
  -4.80000687       3.86973284E-02  0.720044196    
  -4.76000690       3.88311706E-02  0.717859805    
  -4.72000694       3.89978476E-02  0.716849923    
  -4.68000698       3.93357351E-02  0.715173066    
  -4.64000702       3.96584794E-02  0.712085724    
  -4.60000706       3.93435061E-02  0.710489929    
  -4.56000710       3.95366773E-02  0.709465921    
  -4.52000713       3.99827510E-02  0.706478179    
  -4.48000717       3.97447608E-02  0.704666197    
