 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.289519280    
 # Filling Error:   4.18436294E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       1.61690969E-05   1.10322988    
  -11.9600000       1.67200760E-05   1.10178781    
  -11.9200001       1.71496231E-05   1.09730566    
  -11.8800001       1.82073727E-05   1.10465693    
  -11.8400002       1.88855029E-05   1.10678422    
  -11.8000002       1.90915907E-05   1.08584440    
  -11.7600002       2.02301289E-05   1.10204589    
  -11.7200003       2.08195015E-05   1.08560443    
  -11.6800003       2.13209969E-05   1.08281446    
  -11.6400003       2.25856020E-05   1.09578526    
  -11.6000004       2.31378908E-05   1.08338499    
  -11.5600004       2.33640312E-05   1.07707191    
  -11.5200005       2.43115010E-05   1.08727193    
  -11.4800005       2.58252840E-05   1.07073843    
  -11.4400005       2.65595245E-05   1.09826195    
  -11.4000006       2.68097501E-05   1.08318532    
  -11.3600006       2.85790356E-05   1.09264636    
  -11.3200006       2.92737041E-05   1.06835651    
  -11.2800007       3.05292124E-05   1.07933128    
  -11.2400007       3.15102734E-05   1.07406843    
  -11.2000008       3.21125408E-05   1.07520032    
  -11.1600008       3.35874829E-05   1.09366417    
  -11.1200008       3.45536973E-05   1.06062508    
  -11.0800009       3.55675729E-05   1.08180082    
  -11.0400009       3.69438785E-05   1.06232953    
  -11.0000010       3.78727964E-05   1.08155513    
  -10.9600010       3.89605739E-05   1.06626940    
  -10.9200010       4.06376166E-05   1.07202506    
  -10.8800011       4.26068946E-05   1.05909181    
  -10.8400011       4.32398301E-05   1.05727077    
  -10.8000011       4.43180325E-05   1.07141006    
  -10.7600012       4.54427100E-05   1.05713630    
  -10.7200012       4.75074812E-05   1.06490219    
  -10.6800013       4.80678427E-05   1.05144954    
  -10.6400013       4.98033442E-05   1.05553114    
  -10.6000013       5.10556565E-05   1.06063724    
  -10.5600014       5.16295950E-05   1.05675948    
  -10.5200014       5.32156919E-05   1.04912686    
  -10.4800014       5.47433228E-05   1.04810727    
  -10.4400015       5.54333637E-05   1.05798507    
  -10.4000015       5.76680359E-05   1.05165744    
  -10.3600016       5.88239200E-05   1.05847669    
  -10.3200016       6.08738846E-05   1.06206763    
  -10.2800016       6.18193590E-05   1.04833972    
  -10.2400017       6.26672700E-05   1.05910885    
  -10.2000017       6.36901750E-05   1.05436635    
  -10.1600018       6.71928647E-05   1.04589820    
  -10.1200018       6.71766466E-05   1.04814053    
  -10.0800018       6.99125449E-05   1.04958904    
  -10.0400019       6.87894426E-05   1.04194105    
  -10.0000019       7.28891537E-05   1.03500998    
  -9.96000195       7.45720536E-05   1.04484677    
  -9.92000198       7.76273664E-05   1.02978981    
  -9.88000202       7.88264879E-05   1.03357005    
  -9.84000206       8.03956646E-05   1.03693140    
  -9.80000210       8.34778912E-05   1.04102087    
  -9.76000214       8.70169897E-05   1.03420401    
  -9.72000217       8.81299202E-05   1.04065812    
  -9.68000221       9.43788837E-05   1.03357792    
  -9.64000225       9.57053780E-05   1.03399026    
  -9.60000229       9.91623820E-05   1.03703558    
  -9.56000233       1.04144106E-04   1.03437173    
  -9.52000237       1.05242354E-04   1.03129804    
  -9.48000240       1.11501970E-04   1.02285135    
  -9.44000244       1.13846741E-04   1.02759171    
  -9.40000248       1.17118601E-04   1.02733290    
  -9.36000252       1.22188925E-04   1.02866769    
  -9.32000256       1.28332962E-04   1.02465081    
  -9.28000259       1.33124311E-04   1.02489913    
  -9.24000263       1.33895956E-04   1.02134621    
  -9.20000267       1.43086232E-04   1.02538311    
  -9.16000271       1.46175094E-04   1.01913500    
  -9.12000275       1.47863379E-04   1.02132332    
  -9.08000278       1.56281589E-04   1.01290202    
  -9.04000282       1.62512239E-04   1.01864231    
  -9.00000286       1.67789607E-04   1.01349890    
  -8.96000290       1.71512918E-04   1.01793587    
  -8.92000294       1.81266587E-04   1.02190459    
  -8.88000298       1.87749712E-04   1.01304555    
  -8.84000301       1.95638320E-04   1.01890218    
  -8.80000305       1.99177230E-04   1.01510346    
  -8.76000309       2.13388223E-04   1.02005827    
  -8.72000313       2.17799199E-04   1.01381981    
  -8.68000317       2.28247416E-04   1.01665628    
  -8.64000320       2.35640371E-04   1.01441538    
  -8.60000324       2.46024370E-04   1.00969052    
  -8.56000328       2.53574690E-04   1.01434839    
  -8.52000332       2.66710646E-04   1.01059461    
  -8.48000336       2.79017666E-04   1.01175451    
  -8.44000340       2.87096889E-04   1.00817859    
  -8.40000343       3.03278910E-04   1.01132917    
  -8.36000347       3.06803093E-04   1.00768030    
  -8.32000351       3.23821470E-04   1.00868106    
  -8.28000355       3.31649440E-04   1.00635970    
  -8.24000359       3.55540775E-04   1.00525928    
  -8.20000362       3.65520915E-04   1.00721335    
  -8.16000366       3.87792184E-04   1.00613010    
  -8.12000370       3.96131712E-04   1.00684381    
  -8.08000374       4.19747608E-04   1.00409377    
  -8.04000378       4.35788039E-04   1.00836670    
  -8.00000381       4.65324614E-04   1.00451374    
  -7.96000385       4.70096449E-04   1.00726402    
  -7.92000389       5.01327799E-04   1.00579739    
  -7.88000393       5.30163990E-04   1.00513601    
  -7.84000397       5.53219346E-04   1.00388908    
  -7.80000401       5.78733569E-04   1.00449324    
  -7.76000404       6.12633536E-04   1.00352168    
  -7.72000408       6.34792203E-04   1.00210416    
  -7.68000412       6.71530725E-04   1.00301468    
  -7.64000416       7.03565951E-04   1.00269485    
  -7.60000420       7.43184530E-04   1.00223851    
  -7.56000423       7.86826829E-04   1.00126529    
  -7.52000427       8.35024461E-04   1.00092340    
  -7.48000431       8.70104122E-04   1.00074768    
  -7.44000435       9.26771841E-04   1.00052786    
  -7.40000439       9.62436607E-04  0.999494612    
  -7.36000443       1.04029581E-03  0.998908997    
  -7.32000446       1.09753793E-03  0.998458087    
  -7.28000450       1.17384968E-03  0.998148084    
  -7.24000454       1.25940377E-03  0.997105896    
  -7.20000458       1.33630342E-03  0.995361805    
  -7.16000462       1.43835926E-03  0.992245913    
  -7.12000465       1.53847889E-03  0.991288662    
  -7.08000469       1.59964990E-03  0.989626825    
  -7.04000473       1.65658793E-03  0.987442553    
  -7.00000477       1.68706046E-03  0.985288978    
  -6.96000481       1.75236119E-03  0.981650233    
  -6.92000484       1.81086152E-03  0.977023065    
  -6.88000488       1.86675752E-03  0.968033075    
  -6.84000492       1.99680519E-03  0.955286503    
  -6.80000496       2.01049843E-03  0.951489627    
  -6.76000500       2.04760302E-03  0.953260720    
  -6.72000504       2.09689001E-03  0.955036819    
  -6.68000507       2.10018130E-03  0.954790056    
  -6.64000511       2.17314856E-03  0.956250131    
  -6.60000515       2.19148048E-03  0.956717491    
  -6.56000519       2.22591567E-03  0.958047628    
  -6.52000523       2.24824157E-03  0.957021117    
  -6.48000526       2.33556586E-03  0.959871829    
  -6.44000530       2.36708368E-03  0.960150719    
  -6.40000534       2.45345640E-03  0.959893703    
  -6.36000538       2.48798123E-03  0.961104035    
  -6.32000542       2.55824160E-03  0.962137878    
  -6.28000546       2.61474517E-03  0.963809431    
  -6.24000549       2.67696031E-03  0.962843478    
  -6.20000553       2.77843489E-03  0.963511765    
  -6.16000557       2.82395398E-03  0.964326978    
  -6.12000561       2.90869433E-03  0.964266479    
  -6.08000565       2.99754529E-03  0.964176357    
  -6.04000568       3.11448798E-03  0.964932203    
  -6.00000572       3.49552301E-03  0.927858412    
  -5.96000576       3.86064430E-03  0.903744876    
  -5.92000580       4.16846480E-03  0.894647062    
  -5.88000584       4.49888268E-03  0.884140491    
  -5.84000587       4.71574487E-03  0.881085455    
  -5.80000591       5.01257414E-03  0.874370337    
  -5.76000595       5.34600904E-03  0.871557832    
  -5.72000599       5.66959893E-03  0.862446725    
  -5.68000603       6.29820814E-03  0.839209795    
  -5.64000607       6.60276739E-03  0.825868785    
  -5.60000610       6.55886903E-03  0.823616445    
  -5.56000614       6.70986064E-03  0.821213424    
  -5.52000618       6.72755996E-03  0.819837868    
  -5.48000622       6.73748739E-03  0.819141507    
  -5.44000626       6.77782111E-03  0.816975653    
  -5.40000629       6.85037533E-03  0.815039992    
  -5.36000633       6.89664530E-03  0.813455403    
  -5.32000637       7.01025501E-03  0.813581049    
  -5.28000641       7.00321048E-03  0.812612116    
  -5.24000645       7.04294443E-03  0.810610592    
  -5.20000648       7.11756246E-03  0.809987009    
  -5.16000652       7.21196365E-03  0.806125283    
  -5.12000656       7.22800475E-03  0.806122839    
  -5.08000660       7.24181021E-03  0.805420280    
  -5.04000664       7.31870020E-03  0.803161919    
  -5.00000668       7.35988468E-03  0.801780462    
  -4.96000671       7.48014962E-03  0.798301935    
  -4.92000675       7.50971120E-03  0.799166679    
  -4.88000679       7.57508352E-03  0.798569679    
  -4.84000683       7.48632103E-03  0.801474273    
  -4.80000687       7.21589103E-03  0.809310794    
  -4.76000690       7.13119004E-03  0.814099073    
  -4.72000694       7.04978034E-03  0.815759778    
  -4.68000698       6.96535362E-03  0.818075061    
  -4.64000702       6.95597194E-03  0.818901002    
  -4.60000706       6.88595185E-03  0.818678379    
  -4.56000710       6.81170588E-03  0.819565058    
  -4.52000713       6.76894141E-03  0.819051325    
  -4.48000717       6.76429505E-03  0.818605483    
  -4.44000721       6.68516383E-03  0.816688597    
  -4.40000725       6.67706877E-03  0.817501605    
  -4.36000729       6.58013159E-03  0.818942904    
  -4.32000732       6.51957607E-03  0.815771341    
  -4.28000736       6.43382221E-03  0.815555811    
  -4.24000740       6.45788759E-03  0.814217031    
  -4.20000744       6.41880045E-03  0.811112523    
  -4.16000748       6.33368688E-03  0.810305834    
  -4.12000751       6.24512136E-03  0.809400260    
  -4.08000755       6.18358189E-03  0.806682885    
  -4.04000759       6.15826063E-03  0.804495454    
  -4.00000763       6.08471595E-03  0.803354979    
  -3.96000767       5.98532846E-03  0.799366295    
  -3.92000771       6.10860670E-03  0.801878273    
  -3.88000774       9.18238983E-03  0.861991584    
  -3.84000778       1.20701836E-02  0.889326274    
  -3.80000782       1.42443040E-02  0.902272284    
  -3.76000786       1.57995056E-02  0.907706678    
