 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.366248220    
 # Filling Error:   4.33024205E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       4.05414939E-05   1.09551609    
  -11.9600000       4.21192781E-05   1.07184768    
  -11.9200001       4.37635972E-05   1.08481884    
  -11.8800001       4.54642504E-05   1.07646620    
  -11.8400002       4.72191969E-05   1.07884991    
  -11.8000002       4.80106683E-05   1.09735394    
  -11.7600002       5.17444460E-05   1.08983505    
  -11.7200003       5.30336729E-05   1.07668090    
  -11.6800003       5.46983720E-05   1.08205903    
  -11.6400003       5.58718421E-05   1.09006381    
  -11.6000004       5.87805116E-05   1.06615400    
  -11.5600004       6.13065713E-05   1.06841946    
  -11.5200005       6.30266150E-05   1.06574285    
  -11.4800005       6.57751516E-05   1.06240606    
  -11.4400005       6.78994620E-05   1.06193078    
  -11.4000006       7.04881750E-05   1.05315161    
  -11.3600006       7.37241571E-05   1.05180466    
  -11.3200006       7.57043454E-05   1.04942727    
  -11.2800007       7.98869005E-05   1.04888141    
  -11.2400007       8.11934515E-05   1.05285966    
  -11.2000008       8.42966110E-05   1.05718648    
  -11.1600008       8.56405313E-05   1.05601990    
  -11.1200008       8.93268516E-05   1.04749525    
  -11.0800009       9.35499047E-05   1.05979693    
  -11.0400009       9.69396206E-05   1.05664301    
  -11.0000010       9.98684918E-05   1.05309141    
  -10.9600010       1.01722850E-04   1.05970943    
  -10.9200010       1.06168722E-04   1.04786766    
  -10.8800011       1.09558379E-04   1.04146183    
  -10.8400011       1.12525828E-04   1.05055511    
  -10.8000011       1.17218464E-04   1.05627143    
  -10.7600012       1.21706595E-04   1.04390919    
  -10.7200012       1.27598643E-04   1.03814912    
  -10.6800013       1.31039807E-04   1.03530240    
  -10.6400013       1.34836067E-04   1.04044485    
  -10.6000013       1.37873707E-04   1.03977776    
  -10.5600014       1.43393205E-04   1.04269707    
  -10.5200014       1.51409666E-04   1.03373337    
  -10.4800014       1.54762616E-04   1.02710438    
  -10.4400015       1.61015545E-04   1.02508831    
  -10.4000015       1.67850405E-04   1.02847946    
  -10.3600016       1.70901942E-04   1.03700435    
  -10.3200016       1.76051690E-04   1.02196169    
  -10.2800016       1.84237273E-04   1.02822685    
  -10.2400017       1.91146522E-04   1.02521420    
  -10.2000017       1.96552195E-04   1.02303672    
  -10.1600018       2.04532524E-04   1.02848363    
  -10.1200018       2.08763944E-04   1.02667713    
  -10.0800018       2.15386070E-04   1.02233636    
  -10.0400019       2.28644218E-04   1.02354252    
  -10.0000019       2.31610538E-04   1.02800882    
  -9.96000195       2.41501199E-04   1.02376318    
  -9.92000198       2.54133891E-04   1.02116203    
  -9.88000202       2.61786394E-04   1.01934278    
  -9.84000206       2.73638725E-04   1.01845026    
  -9.80000210       2.75104481E-04   1.02259243    
  -9.76000214       2.89150805E-04   1.02105188    
  -9.72000217       3.03279492E-04   1.01884377    
  -9.68000221       3.11618438E-04   1.01440787    
  -9.64000225       3.24204855E-04   1.01453471    
  -9.60000229       3.34092794E-04   1.01123810    
  -9.56000233       3.46995657E-04   1.01572430    
  -9.52000237       3.54214280E-04   1.01194060    
  -9.48000240       3.71713948E-04   1.01245344    
  -9.44000244       3.84016370E-04   1.01224232    
  -9.40000248       3.94055969E-04   1.00465775    
  -9.36000252       4.17849078E-04   1.01150262    
  -9.32000256       4.34144953E-04   1.01198220    
  -9.28000259       4.45777550E-04   1.01358593    
  -9.24000263       4.57294140E-04   1.01043308    
  -9.20000267       4.77204478E-04   1.01052022    
  -9.16000271       5.01330243E-04   1.00682414    
  -9.12000275       5.21941751E-04   1.00781274    
  -9.08000278       5.39510744E-04   1.01223803    
  -9.04000282       5.59498207E-04   1.00941491    
  -9.00000286       5.87987131E-04   1.00474322    
  -8.96000290       6.18532591E-04   1.00619602    
  -8.92000294       6.17148471E-04   1.00727224    
  -8.88000298       6.30061666E-04   1.00671530    
  -8.84000301       6.43250940E-04   1.00749564    
  -8.80000305       6.48422749E-04   1.00556123    
  -8.76000309       6.59103040E-04   1.00462556    
  -8.72000313       6.73044531E-04   1.00554359    
  -8.68000317       6.87204418E-04   1.00829649    
  -8.64000320       6.94636488E-04   1.00861990    
  -8.60000324       7.10874214E-04   1.00829744    
  -8.56000328       7.17306335E-04   1.00959003    
  -8.52000332       7.37938797E-04   1.01057911    
  -8.48000336       7.47662678E-04   1.01235139    
  -8.44000340       7.59944029E-04   1.01332641    
  -8.40000343       7.74781627E-04   1.01333463    
  -8.36000347       7.88073521E-04   1.01221251    
  -8.32000351       7.95135216E-04   1.01193762    
  -8.28000355       8.27053096E-04   1.01158512    
  -8.24000359       8.32373917E-04   1.01124859    
  -8.20000362       8.52711324E-04   1.01024854    
  -8.16000366       8.69933341E-04   1.01032400    
  -8.12000370       8.81472370E-04   1.00897300    
  -8.08000374       9.05863184E-04   1.00794947    
  -8.04000378       9.28608759E-04   1.00822103    
  -8.00000381       9.39256221E-04   1.00704205    
  -7.96000385       9.54384566E-04   1.00713086    
  -7.92000389       9.71258967E-04   1.00681436    
  -7.88000393       1.00477308E-03   1.00589478    
  -7.84000397       1.02186343E-03   1.00568891    
  -7.80000401       1.06234802E-03   1.00507557    
  -7.76000404       1.06115011E-03   1.00462651    
  -7.72000408       1.08173897E-03   1.00466585    
  -7.68000412       1.11725519E-03   1.00392282    
  -7.64000416       1.13778503E-03   1.00307977    
  -7.60000420       1.16710225E-03   1.00216997    
  -7.56000423       1.18401763E-03   1.00263834    
  -7.52000427       1.20958174E-03   1.00159287    
  -7.48000431       1.24851847E-03   1.00118089    
  -7.44000435       1.27278815E-03   1.00027871    
  -7.40000439       1.29330717E-03  0.999905169    
  -7.36000443       1.34576496E-03  0.998927414    
  -7.32000446       1.37172546E-03  0.998457551    
  -7.28000450       1.41109910E-03  0.997474492    
  -7.24000454       1.43756124E-03  0.996319890    
  -7.20000458       1.46432233E-03  0.995328426    
  -7.16000462       1.51974196E-03  0.994200289    
  -7.12000465       1.55339157E-03  0.992662430    
  -7.08000469       1.60750572E-03  0.990871787    
  -7.04000473       1.65262376E-03  0.989464045    
  -7.00000477       1.69734331E-03  0.985718250    
  -6.96000481       1.74668152E-03  0.982598424    
  -6.92000484       1.81767484E-03  0.977199376    
  -6.88000488       1.87436817E-03  0.970037460    
  -6.84000492       2.00418825E-03  0.955862045    
  -6.80000496       2.02480378E-03  0.951283932    
  -6.76000500       2.06218986E-03  0.953613520    
  -6.72000504       2.08578119E-03  0.955299616    
