 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.224104106    
 # Filling Error:   3.87352845E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       5.16746877E-06  0.500000000    
  -11.9600000       5.66007930E-06  0.500000000    
  -11.9200001       6.19006960E-06  0.500000000    
  -11.8800001       6.32208457E-06  0.500000000    
  -11.8400002       6.78640890E-06  0.500000000    
  -11.8000002       7.06824540E-06  0.500000000    
  -11.7600002       7.46974956E-06  0.500000000    
  -11.7200003       8.06142816E-06  0.500000000    
  -11.6800003       8.21192043E-06  0.500000000    
  -11.6400003       8.99694169E-06  0.500000000    
  -11.6000004       9.25145105E-06  0.500000000    
  -11.5600004       9.39794973E-06  0.500000000    
  -11.5200005       9.38583798E-06  0.500000000    
  -11.4800005       9.88745705E-06  0.500000000    
  -11.4400005       1.02196664E-05   1.08941829    
  -11.4000006       1.05214531E-05   1.08376968    
  -11.3600006       1.03386337E-05   1.10748982    
  -11.3200006       1.05654153E-05   1.09046245    
  -11.2800007       1.08473296E-05   1.12191808    
  -11.2400007       1.11060444E-05   1.12538123    
  -11.2000008       1.10762394E-05   1.08727515    
  -11.1600008       1.16218735E-05   1.10245478    
  -11.1200008       1.17545687E-05   1.07889497    
  -11.0800009       1.20798804E-05   1.08171237    
  -11.0400009       1.22403299E-05   1.07285392    
  -11.0000010       1.28833499E-05   1.09784973    
  -10.9600010       1.31208144E-05   1.08937299    
  -10.9200010       1.28163820E-05   1.07938993    
  -10.8800011       1.33265876E-05   1.08467793    
  -10.8400011       1.37344605E-05   1.08187413    
  -10.8000011       1.39783288E-05   1.06434715    
  -10.7600012       1.41376449E-05   1.08648419    
  -10.7200012       1.50673513E-05   1.07344210    
  -10.6800013       1.48188965E-05   1.04243565    
  -10.6400013       1.54891877E-05   1.05736351    
  -10.6000013       1.59346619E-05   1.07490540    
  -10.5600014       1.55438611E-05   1.07061028    
  -10.5200014       1.62543602E-05   1.09610009    
  -10.4800014       1.64033190E-05   1.09292769    
  -10.4400015       1.69096420E-05   1.06847572    
  -10.4000015       1.74835532E-05   1.08170021    
  -10.3600016       1.76588146E-05   1.10785306    
  -10.3200016       1.82472177E-05   1.07185745    
  -10.2800016       1.95357861E-05   1.08013725    
  -10.2400017       1.96704441E-05   1.08858073    
  -10.2000017       1.96125693E-05   1.04928231    
  -10.1600018       2.04977496E-05   1.06505704    
  -10.1200018       2.09215323E-05   1.07106018    
  -10.0800018       2.12489340E-05   1.06619215    
  -10.0400019       2.18945024E-05   1.06544518    
  -10.0000019       2.21262490E-05   1.07113075    
  -9.96000195       2.24002270E-05   1.04535365    
  -9.92000198       2.31478825E-05   1.04978287    
  -9.88000202       2.32280527E-05   1.05976641    
  -9.84000206       2.50575977E-05   1.06643355    
