 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.452579767    
 # Filling Error:   4.38188110E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       1.21470570E-04   1.06619895    
  -11.9600000       1.25946186E-04   1.05682600    
  -11.9200001       1.31867317E-04   1.05260015    
  -11.8800001       1.36101924E-04   1.07185435    
  -11.8400002       1.41668119E-04   1.05594373    
  -11.8000002       1.43513695E-04   1.04917729    
  -11.7600002       1.48835723E-04   1.05687082    
  -11.7200003       1.52789624E-04   1.05255473    
  -11.6800003       1.60750322E-04   1.04848289    
  -11.6400003       1.60578595E-04   1.04563868    
  -11.6000004       1.70051484E-04   1.05037248    
  -11.5600004       1.74306988E-04   1.03748715    
  -11.5200005       1.80589326E-04   1.04009676    
  -11.4800005       1.87888640E-04   1.03695643    
  -11.4400005       1.92668929E-04   1.03948224    
  -11.4000006       1.98995738E-04   1.03913331    
  -11.3600006       2.00708630E-04   1.03873682    
  -11.3200006       2.13127671E-04   1.04256463    
  -11.2800007       2.19732858E-04   1.03873062    
  -11.2400007       2.28572913E-04   1.03859437    
  -11.2000008       2.34290070E-04   1.04104030    
  -11.1600008       2.44272902E-04   1.03474545    
  -11.1200008       2.50560610E-04   1.03508413    
  -11.0800009       2.56088329E-04   1.03357482    
  -11.0400009       2.58727610E-04   1.03285420    
  -11.0000010       2.64582573E-04   1.02888846    
  -10.9600010       2.67660100E-04   1.02690017    
  -10.9200010       2.77514744E-04   1.02703857    
  -10.8800011       2.77804764E-04   1.03315532    
  -10.8400011       2.78190855E-04   1.03739846    
  -10.8000011       2.84978305E-04   1.04022849    
  -10.7600012       2.86654482E-04   1.04713607    
  -10.7200012       2.89131858E-04   1.04983997    
  -10.6800013       2.92001816E-04   1.05036569    
  -10.6400013       3.01241060E-04   1.05339921    
  -10.6000013       3.01890657E-04   1.06258929    
  -10.5600014       3.06072790E-04   1.05363381    
  -10.5200014       3.10043688E-04   1.05852556    
  -10.4800014       3.17668600E-04   1.05282509    
  -10.4400015       3.25937930E-04   1.05036139    
  -10.4000015       3.29363160E-04   1.05000925    
  -10.3600016       3.34511511E-04   1.05041242    
  -10.3200016       3.36759258E-04   1.04612219    
  -10.2800016       3.47324851E-04   1.04406118    
  -10.2400017       3.49273963E-04   1.04716921    
  -10.2000017       3.53872048E-04   1.03738761    
  -10.1600018       3.58028425E-04   1.04130316    
  -10.1200018       3.66448250E-04   1.04085994    
  -10.0800018       3.71427130E-04   1.03600812    
  -10.0400019       3.75096628E-04   1.03533518    
  -10.0000019       3.83924518E-04   1.03709972    
  -9.96000195       3.89929977E-04   1.02982533    
  -9.92000198       3.94698232E-04   1.03179193    
  -9.88000202       4.02189064E-04   1.03405261    
  -9.84000206       4.10075532E-04   1.03093565    
  -9.80000210       4.11866087E-04   1.02758729    
  -9.76000214       4.26785409E-04   1.02758169    
  -9.72000217       4.28221363E-04   1.02870107    
  -9.68000221       4.38018033E-04   1.02519715    
  -9.64000225       4.46041086E-04   1.02696609    
  -9.60000229       4.56800946E-04   1.02351940    
  -9.56000233       4.56352340E-04   1.02171159    
  -9.52000237       4.72048123E-04   1.02261102    
  -9.48000240       4.75849782E-04   1.02074838    
  -9.44000244       4.79400042E-04   1.02148783    
  -9.40000248       4.89025901E-04   1.01806986    
  -9.36000252       5.04506228E-04   1.01841319    
  -9.32000256       5.07826102E-04   1.01734853    
  -9.28000259       5.08664758E-04   1.01782000    
  -9.24000263       5.26210060E-04   1.01698601    
  -9.20000267       5.39065804E-04   1.01511919    
  -9.16000271       5.52796584E-04   1.01503181    
  -9.12000275       5.57749649E-04   1.01369369    
  -9.08000278       5.64282353E-04   1.01446426    
  -9.04000282       5.79010288E-04   1.01384950    
  -9.00000286       5.77295432E-04   1.01277804    
  -8.96000290       5.95658494E-04   1.01182330    
  -8.92000294       6.11977535E-04   1.01176071    
  -8.88000298       6.25370012E-04   1.01058531    
  -8.84000301       6.30394439E-04   1.01063812    
  -8.80000305       6.36211364E-04   1.01018989    
  -8.76000309       6.57974218E-04   1.00975025    
  -8.72000313       6.64511870E-04   1.00921178    
  -8.68000317       6.91514811E-04   1.00826907    
  -8.64000320       6.94466231E-04   1.00809407    
  -8.60000324       7.22617493E-04   1.00762260    
  -8.56000328       7.20138894E-04   1.00801790    
  -8.52000332       7.26252794E-04   1.00760067    
  -8.48000336       7.53761386E-04   1.00695574    
  -8.44000340       7.54461274E-04   1.00655627    
  -8.40000343       7.68745434E-04   1.00614035    
  -8.36000347       7.89993734E-04   1.00639260    
  -8.32000351       7.91091123E-04   1.00586641    
  -8.28000355       8.24598595E-04   1.00473237    
  -8.24000359       8.31273443E-04   1.00465310    
  -8.20000362       8.50701530E-04   1.00440729    
  -8.16000366       8.60343745E-04   1.00429213    
  -8.12000370       8.89502931E-04   1.00386071    
  -8.08000374       9.04783723E-04   1.00336766    
  -8.04000378       9.27877147E-04   1.00327289    
  -8.00000381       9.31872579E-04   1.00302863    
  -7.96000385       9.65098210E-04   1.00279760    
  -7.92000389       9.70382185E-04   1.00231409    
  -7.88000393       9.98427160E-04   1.00206149    
  -7.84000397       1.02147227E-03   1.00176859    
  -7.80000401       1.04324322E-03   1.00143945    
  -7.76000404       1.07077637E-03   1.00142336    
  -7.72000408       1.07695058E-03   1.00083125    
  -7.68000412       1.09838636E-03   1.00044990    
  -7.64000416       1.14043651E-03   1.00029445    
  -7.60000420       1.15835108E-03  0.999783218    
  -7.56000423       1.19148917E-03  0.999589145    
  -7.52000427       1.20824296E-03  0.998810112    
  -7.48000431       1.23630278E-03  0.998498917    
  -7.44000435       1.28246739E-03  0.997874141    
  -7.40000439       1.31637626E-03  0.997177660    
  -7.36000443       1.33894943E-03  0.996417522    
  -7.32000446       1.37265306E-03  0.995713651    
  -7.28000450       1.40976557E-03  0.994955719    
  -7.24000454       1.43601210E-03  0.993659377    
  -7.20000458       1.46912073E-03  0.992638886    
  -7.16000462       1.51088519E-03  0.991653383    
  -7.12000465       1.55150832E-03  0.989433646    
  -7.08000469       1.58535864E-03  0.987964809    
  -7.04000473       1.64440519E-03  0.986099064    
  -7.00000477       1.69134117E-03  0.983464837    
  -6.96000481       1.74178695E-03  0.979949176    
  -6.92000484       1.82689691E-03  0.975648522    
  -6.88000488       1.87364605E-03  0.967058182    
  -6.84000492       1.96653907E-03  0.953023970    
  -6.80000496       2.01796438E-03  0.950937092    
  -6.76000500       2.03556824E-03  0.952135086    
  -6.72000504       2.09021778E-03  0.953363359    
  -6.68000507       2.11834884E-03  0.953366578    
  -6.64000511       2.15930655E-03  0.953619599    
  -6.60000515       2.22206512E-03  0.954880118    
  -6.56000519       2.25583464E-03  0.955974162    
  -6.52000523       2.27733562E-03  0.955385149    
  -6.48000526       2.32912414E-03  0.957260430    
  -6.44000530       2.39694305E-03  0.957865477    
  -6.40000534       2.41196575E-03  0.958113313    
  -6.36000538       2.49950914E-03  0.959103644    
  -6.32000542       2.56807404E-03  0.959151924    
  -6.28000546       2.60687037E-03  0.959271193    
  -6.24000549       2.71193869E-03  0.960916579    
  -6.20000553       2.74430658E-03  0.960836947    
  -6.16000557       2.81931227E-03  0.960354567    
  -6.12000561       2.91171204E-03  0.962094009    
  -6.08000565       3.02782864E-03  0.962312400    
  -6.04000568       3.11376969E-03  0.962875128    
  -6.00000572       3.51967220E-03  0.928358614    
  -5.96000576       3.85377137E-03  0.902761519    
  -5.92000580       4.20404132E-03  0.892955959    
  -5.88000584       4.56947554E-03  0.882186353    
  -5.84000587       4.84002847E-03  0.875973284    
  -5.80000591       5.23652881E-03  0.868457079    
  -5.76000595       5.64233353E-03  0.859972060    
  -5.72000599       6.11437811E-03  0.849788070    
  -5.68000603       6.89447438E-03  0.825762272    
  -5.64000607       7.26812752E-03  0.816093624    
  -5.60000610       7.51995482E-03  0.811135411    
  -5.56000614       7.91247934E-03  0.808713257    
  -5.52000618       8.36285483E-03  0.802028537    
  -5.48000622       9.80926398E-03  0.785876453    
  -5.44000626       1.17183868E-02  0.768701196    
  -5.40000629       1.18552959E-02  0.766249001    
  -5.36000633       1.19375717E-02  0.764899790    
  -5.32000637       1.20180557E-02  0.760600567    
  -5.28000641       1.21530676E-02  0.759572566    
  -5.24000645       1.22444304E-02  0.756516337    
  -5.20000648       1.23816300E-02  0.754572392    
  -5.16000652       1.25821568E-02  0.752921343    
  -5.12000656       1.25862453E-02  0.748569846    
  -5.08000660       1.26221962E-02  0.747904301    
  -5.04000664       1.28258374E-02  0.743795097    
  -5.00000668       1.30135426E-02  0.740355909    
  -4.96000671       1.29995300E-02  0.737839341    
  -4.92000675       1.31578175E-02  0.735445380    
  -4.88000679       1.32416915E-02  0.733410954    
