 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.216953129    
 # Filling Error:   3.88116972E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       4.32289244E-06  0.500000000    
  -11.9600000       4.83608892E-06  0.500000000    
  -11.9200001       5.24985990E-06  0.500000000    
  -11.8800001       5.42056569E-06  0.500000000    
  -11.8400002       5.88633566E-06  0.500000000    
  -11.8000002       6.05438890E-06  0.500000000    
  -11.7600002       6.61710828E-06  0.500000000    
  -11.7200003       6.85549185E-06  0.500000000    
  -11.6800003       7.02870648E-06  0.500000000    
  -11.6400003       7.24065603E-06  0.500000000    
  -11.6000004       7.37744676E-06  0.500000000    
  -11.5600004       7.59117074E-06  0.500000000    
  -11.5200005       7.70186489E-06  0.500000000    
  -11.4800005       7.97918347E-06  0.500000000    
  -11.4400005       7.85047541E-06  0.500000000    
  -11.4000006       8.36187155E-06  0.500000000    
  -11.3600006       8.33173544E-06  0.500000000    
  -11.3200006       8.64764934E-06  0.500000000    
  -11.2800007       8.84083602E-06  0.500000000    
  -11.2400007       8.81453252E-06  0.500000000    
  -11.2000008       9.06493642E-06  0.500000000    
  -11.1600008       9.72515227E-06  0.500000000    
  -11.1200008       9.32311559E-06  0.500000000    
  -11.0800009       1.00133884E-05   1.10902238    
  -11.0400009       9.98237374E-06  0.500000000    
  -11.0000010       1.04735627E-05   1.07544827    
  -10.9600010       1.02342156E-05   1.08192277    
  -10.9200010       1.06587477E-05   1.10124767    
  -10.8800011       1.06185089E-05   1.09592378    
  -10.8400011       1.10025221E-05   1.10709000    
  -10.8000011       1.14570839E-05   1.08003807    
  -10.7600012       1.16196843E-05   1.08955860    
  -10.7200012       1.15233952E-05   1.09662962    
  -10.6800013       1.22080910E-05   1.10079038    
  -10.6400013       1.22580814E-05   1.08165574    
  -10.6000013       1.30245826E-05   1.07182932    
  -10.5600014       1.28112779E-05   1.09128451    
  -10.5200014       1.29186965E-05   1.08603024    
  -10.4800014       1.33401172E-05   1.05706429    
  -10.4400015       1.37213938E-05   1.06794202    
  -10.4000015       1.44946625E-05   1.07586801    
  -10.3600016       1.48317658E-05   1.07514346    
  -10.3200016       1.52194125E-05   1.07492042    
  -10.2800016       1.56108363E-05   1.06566250    
  -10.2400017       1.54650697E-05   1.07979727    
  -10.2000017       1.62308479E-05   1.05767775    
  -10.1600018       1.63801051E-05   1.07670009    
  -10.1200018       1.72703094E-05   1.06559777    
  -10.0800018       1.70220355E-05   1.07210386    
  -10.0400019       1.79088456E-05   1.06327558    
  -10.0000019       1.81978721E-05   1.08250701    
  -9.96000195       1.88587492E-05   1.06562424    
  -9.92000198       1.95074317E-05   1.06690609    
  -9.88000202       1.91312211E-05   1.05796289    
  -9.84000206       2.00896066E-05   1.07411253    
  -9.80000210       2.11738297E-05   1.05393672    
  -9.76000214       2.12384093E-05   1.05837297    
  -9.72000217       2.16810149E-05   1.05602038    
  -9.68000221       2.19011981E-05   1.07315755    
  -9.64000225       2.23429579E-05   1.06998444    
  -9.60000229       2.37293789E-05   1.04630315    
  -9.56000233       2.42079677E-05   1.06385159    
  -9.52000237       2.52154077E-05   1.05668509    
  -9.48000240       2.45150841E-05   1.07118464    
  -9.44000244       2.65632534E-05   1.04963434    
  -9.40000248       2.63665079E-05   1.06088901    
  -9.36000252       2.81804660E-05   1.03128290    
  -9.32000256       2.93069752E-05   1.04424715    
  -9.28000259       2.99524327E-05   1.06322706    
  -9.24000263       3.10218129E-05   1.05307710    
  -9.20000267       3.12131706E-05   1.03621352    
  -9.16000271       3.23633176E-05   1.03904271    
  -9.12000275       3.35736950E-05   1.04203975    
  -9.08000278       3.46673223E-05   1.03517258    
  -9.04000282       3.44787732E-05   1.04624164    
  -9.00000286       3.58135621E-05   1.03933239    
  -8.96000290       3.63291510E-05   1.03262401    
  -8.92000294       3.83521001E-05   1.03575730    
  -8.88000298       3.94436247E-05   1.04293501    
  -8.84000301       4.19378885E-05   1.03970301    
  -8.80000305       4.13148846E-05   1.03956020    
  -8.76000309       4.37666313E-05   1.03984666    
  -8.72000313       4.42121018E-05   1.03551185    
  -8.68000317       4.61391319E-05   1.03914034    
  -8.64000320       4.83540243E-05   1.02841258    
  -8.60000324       5.02873154E-05   1.02577794    
  -8.56000328       5.10507962E-05   1.03269994    
  -8.52000332       5.22205155E-05   1.02338624    
  -8.48000336       5.50825207E-05   1.02287841    
  -8.44000340       5.72158460E-05   1.02790654    
  -8.40000343       5.69188742E-05   1.02862144    
  -8.36000347       6.18286940E-05   1.02641571    
  -8.32000351       6.24533568E-05   1.03202021    
  -8.28000355       6.45865075E-05   1.02727151    
  -8.24000359       6.73776085E-05   1.02183151    
  -8.20000362       6.97350843E-05   1.02543247    
  -8.16000366       7.21674078E-05   1.02950692    
  -8.12000370       7.51971747E-05   1.02102482    
  -8.08000374       7.94187727E-05   1.01946819    
  -8.04000378       7.81099952E-05   1.01589131    
  -8.00000381       8.43341622E-05   1.01573014    
  -7.96000385       8.62234738E-05   1.01908648    
  -7.92000389       9.15490746E-05   1.01644731    
  -7.88000393       9.24308843E-05   1.01456094    
  -7.84000397       9.65986983E-05   1.01466095    
  -7.80000401       9.89969631E-05   1.01752126    
  -7.76000404       1.08167369E-04   1.01511526    
  -7.72000408       1.11246678E-04   1.01321340    
  -7.68000412       1.13557224E-04   1.01270032    
  -7.64000416       1.22175843E-04   1.01237774    
  -7.60000420       1.21535813E-04   1.01417470    
  -7.56000423       1.26538900E-04   1.01402521    
  -7.52000427       1.33656184E-04   1.01053143    
  -7.48000431       1.40148390E-04   1.00959647    
  -7.44000435       1.43196245E-04   1.00661552    
  -7.40000439       1.52650755E-04   1.01137495    
  -7.36000443       1.53017027E-04   1.01060605    
  -7.32000446       1.68384722E-04   1.00866044    
  -7.28000450       1.74972942E-04   1.00795197    
  -7.24000454       1.82996257E-04   1.00672615    
  -7.20000458       1.91143976E-04   1.00802505    
  -7.16000462       1.97953370E-04   1.00567567    
  -7.12000465       2.06547295E-04   1.00879800    
  -7.08000469       2.15576627E-04   1.00693095    
  -7.04000473       2.28627425E-04   1.00611758    
  -7.00000477       2.42281531E-04   1.00599027    
