 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.397581518    
 # Filling Error:   4.38608136E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       6.33564050E-05   1.07440996    
  -11.9600000       6.56792035E-05   1.07491446    
  -11.9200001       6.84066472E-05   1.05367160    
  -11.8800001       7.01339595E-05   1.06251216    
  -11.8400002       7.24507045E-05   1.06547344    
  -11.8000002       7.58224924E-05   1.05545199    
  -11.7600002       7.77006135E-05   1.05883682    
  -11.7200003       8.00943162E-05   1.06315422    
  -11.6800003       8.39183704E-05   1.07269454    
  -11.6400003       8.78373248E-05   1.06128466    
  -11.6000004       8.78477149E-05   1.07392895    
  -11.5600004       9.13884287E-05   1.07322109    
  -11.5200005       9.58840756E-05   1.06153035    
  -11.4800005       9.91095949E-05   1.07013714    
  -11.4400005       9.99530384E-05   1.06025887    
  -11.4000006       1.06274434E-04   1.05112195    
  -11.3600006       1.09249020E-04   1.05138934    
  -11.3200006       1.12633046E-04   1.05392396    
  -11.2800007       1.15188748E-04   1.04198647    
  -11.2400007       1.20678320E-04   1.04728520    
  -11.2000008       1.25226739E-04   1.04803884    
  -11.1600008       1.30903471E-04   1.03291953    
  -11.1200008       1.33937487E-04   1.04249847    
  -11.0800009       1.36321803E-04   1.04541266    
  -11.0400009       1.40472272E-04   1.05064917    
  -11.0000010       1.46595165E-04   1.03592432    
  -10.9600010       1.51907021E-04   1.04652333    
  -10.9200010       1.58345982E-04   1.04533982    
  -10.8800011       1.61951844E-04   1.03406525    
  -10.8400011       1.68628671E-04   1.03841996    
  -10.8000011       1.72700980E-04   1.03534126    
  -10.7600012       1.78353468E-04   1.03906536    
  -10.7200012       1.84720688E-04   1.02459037    
  -10.6800013       1.91563173E-04   1.04159260    
  -10.6400013       2.00751630E-04   1.03206384    
  -10.6000013       2.02780124E-04   1.02089787    
  -10.5600014       2.11553430E-04   1.02899206    
  -10.5200014       2.16952394E-04   1.03264499    
  -10.4800014       2.27814744E-04   1.02983499    
  -10.4400015       2.37319095E-04   1.02679706    
  -10.4000015       2.44223920E-04   1.02841806    
  -10.3600016       2.50497164E-04   1.01367140    
  -10.3200016       2.58988322E-04   1.02504420    
  -10.2800016       2.70719902E-04   1.02203703    
  -10.2400017       2.77385261E-04   1.02379894    
  -10.2000017       2.94412574E-04   1.02077556    
  -10.1600018       3.01763881E-04   1.01557803    
  -10.1200018       3.08108720E-04   1.01892292    
  -10.0800018       3.17814731E-04   1.01904273    
  -10.0400019       3.35132587E-04   1.02163124    
  -10.0000019       3.49341775E-04   1.01361024    
  -9.96000195       3.58867401E-04   1.01562262    
  -9.92000198       3.75491043E-04   1.01651764    
  -9.88000202       3.87804088E-04   1.01299906    
  -9.84000206       4.02372651E-04   1.01785767    
  -9.80000210       4.17804229E-04   1.01318288    
  -9.76000214       4.34925023E-04   1.01195931    
  -9.72000217       4.41504584E-04   1.01491416    
  -9.68000221       4.52359614E-04   1.01305628    
  -9.64000225       4.59321745E-04   1.01352358    
  -9.60000229       4.66198224E-04   1.01188219    
  -9.56000233       4.76724294E-04   1.01341152    
  -9.52000237       4.76088782E-04   1.01019633    
  -9.48000240       4.82938980E-04   1.01414549    
  -9.44000244       5.01497183E-04   1.01465786    
  -9.40000248       5.11130376E-04   1.01557326    
  -9.36000252       5.14946296E-04   1.01823163    
  -9.32000256       5.30405261E-04   1.01940370    
  -9.28000259       5.33839513E-04   1.01984978    
  -9.24000263       5.47659176E-04   1.02195764    
  -9.20000267       5.47573960E-04   1.02503550    
