 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.245516703    
 # Filling Error:   3.99986189E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       8.12141298E-06  0.500000000    
  -11.9600000       8.96459642E-06  0.500000000    
  -11.9200001       9.08471975E-06  0.500000000    
  -11.8800001       9.26949087E-06  0.500000000    
  -11.8400002       9.85230236E-06  0.500000000    
  -11.8000002       1.05241561E-05   1.08726501    
  -11.7600002       1.12540574E-05   1.11501515    
  -11.7200003       1.14981322E-05   1.09827483    
  -11.6800003       1.20147233E-05   1.10591769    
  -11.6400003       1.23934951E-05   1.10993779    
  -11.6000004       1.30751632E-05   1.11250341    
  -11.5600004       1.37573061E-05   1.09794247    
  -11.5200005       1.39164540E-05   1.10546649    
  -11.4800005       1.46043185E-05   1.10148835    
  -11.4400005       1.55246707E-05   1.10513711    
  -11.4000006       1.61340286E-05   1.09480393    
  -11.3600006       1.66348254E-05   1.08679008    
  -11.3200006       1.70552012E-05   1.08528149    
  -11.2800007       1.72085674E-05   1.07134104    
  -11.2400007       1.81031010E-05   1.09287083    
  -11.2000008       1.84256060E-05   1.07973802    
  -11.1600008       1.87284768E-05   1.10360324    
  -11.1200008       1.90095016E-05   1.08092749    
  -11.0800009       1.97395857E-05   1.08625770    
  -11.0400009       1.97696318E-05   1.08830106    
  -11.0000010       2.00381091E-05   1.08241844    
  -10.9600010       2.06867189E-05   1.09545910    
  -10.9200010       2.15329692E-05   1.06388772    
  -10.8800011       2.21547216E-05   1.08129060    
  -10.8400011       2.21172322E-05   1.06119394    
  -10.8000011       2.34545514E-05   1.05690336    
  -10.7600012       2.27832861E-05   1.06021595    
  -10.7200012       2.37626955E-05   1.05709374    
  -10.6800013       2.43057857E-05   1.06977618    
  -10.6400013       2.48772903E-05   1.07333791    
  -10.6000013       2.50439061E-05   1.07595241    
  -10.5600014       2.55994237E-05   1.06966853    
  -10.5200014       2.70016299E-05   1.05400205    
  -10.4800014       2.75914499E-05   1.06968188    
  -10.4400015       2.87096391E-05   1.07185078    
  -10.4000015       2.81645953E-05   1.07700324    
  -10.3600016       2.91837332E-05   1.06773329    
  -10.3200016       2.97789211E-05   1.06076682    
  -10.2800016       3.07482987E-05   1.07035267    
  -10.2400017       3.20154104E-05   1.06594634    
  -10.2000017       3.26342924E-05   1.08146358    
  -10.1600018       3.28201277E-05   1.05663788    
  -10.1200018       3.34832002E-05   1.06977940    
  -10.0800018       3.39984545E-05   1.05780590    
  -10.0400019       3.59719816E-05   1.06050074    
  -10.0000019       3.60918893E-05   1.04766464    
  -9.96000195       3.69993577E-05   1.05823147    
  -9.92000198       3.84246014E-05   1.04385602    
  -9.88000202       3.97768381E-05   1.04175949    
  -9.84000206       4.00174868E-05   1.06121278    
  -9.80000210       4.11297988E-05   1.04296601    
  -9.76000214       4.20406104E-05   1.03714097    
  -9.72000217       4.44642210E-05   1.04095268    
  -9.68000221       4.39859868E-05   1.04589808    
  -9.64000225       4.51261876E-05   1.03513896    
  -9.60000229       4.60903539E-05   1.04782212    
  -9.56000233       4.70557279E-05   1.04548275    
  -9.52000237       4.92801883E-05   1.04198027    
  -9.48000240       5.14331659E-05   1.04145753    
  -9.44000244       5.16818218E-05   1.04937744    
  -9.40000248       5.32196682E-05   1.03879654    
  -9.36000252       5.46664087E-05   1.03906810    
  -9.32000256       5.54839244E-05   1.04828119    
  -9.28000259       5.81047134E-05   1.03988397    
  -9.24000263       5.92627148E-05   1.02496803    
  -9.20000267       6.12660078E-05   1.04103899    
  -9.16000271       6.30916693E-05   1.03238785    
  -9.12000275       6.48127461E-05   1.03190911    
  -9.08000278       6.70438967E-05   1.03832281    
  -9.04000282       6.99760567E-05   1.03594398    
  -9.00000286       7.33241686E-05   1.03381717    
  -8.96000290       7.31872133E-05   1.03053141    
  -8.92000294       7.68036261E-05   1.04086769    
  -8.88000298       7.85953816E-05   1.02340102    
  -8.84000301       7.99066402E-05   1.02343106    
  -8.80000305       8.44517272E-05   1.02367318    
  -8.76000309       8.56215920E-05   1.02202570    
  -8.72000313       8.63074383E-05   1.02505910    
  -8.68000317       9.00705854E-05   1.01436627    
  -8.64000320       9.43525665E-05   1.02435386    
  -8.60000324       9.70483525E-05   1.01794815    
  -8.56000328       1.00371471E-04   1.02179086    
  -8.52000332       1.03769780E-04   1.02682650    
  -8.48000336       1.04744657E-04   1.02801466    
  -8.44000340       1.10726454E-04   1.01928914    
  -8.40000343       1.15177354E-04   1.01601779    
  -8.36000347       1.19302444E-04   1.02302754    
  -8.32000351       1.21822326E-04   1.01728368    
  -8.28000355       1.26436353E-04   1.02395713    
  -8.24000359       1.30346874E-04   1.01796281    
  -8.20000362       1.36157527E-04   1.01467073    
  -8.16000366       1.39907352E-04   1.01215279    
  -8.12000370       1.45907339E-04   1.01516891    
  -8.08000374       1.49105501E-04   1.01962984    
  -8.04000378       1.58708208E-04   1.01086617    
  -8.00000381       1.66049824E-04   1.01003087    
  -7.96000385       1.69476873E-04   1.00839293    
  -7.92000389       1.73578228E-04   1.00988674    
  -7.88000393       1.83120530E-04   1.01083958    
  -7.84000397       1.92849358E-04   1.00915170    
  -7.80000401       1.99543691E-04   1.00926673    
  -7.76000404       2.12042098E-04   1.00545418    
  -7.72000408       2.18036264E-04   1.00957465    
  -7.68000412       2.27967350E-04   1.00931263    
  -7.64000416       2.45973613E-04   1.00712204    
  -7.60000420       2.52756116E-04   1.00747573    
  -7.56000423       2.63855472E-04   1.00582397    
  -7.52000427       2.78341031E-04   1.00601864    
  -7.48000431       2.97373452E-04   1.00650859    
  -7.44000435       3.06187256E-04   1.00781214    
  -7.40000439       3.22594948E-04   1.00623345    
  -7.36000443       3.37728794E-04   1.00475693    
  -7.32000446       3.67578177E-04   1.00433707    
  -7.28000450       3.85540770E-04   1.00437272    
  -7.24000454       3.93546245E-04   1.00614965    
  -7.20000458       4.18106327E-04   1.00338793    
  -7.16000462       4.42527467E-04   1.00374079    
  -7.12000465       4.74173314E-04   1.00230622    
  -7.08000469       5.08207944E-04   1.00253856    
  -7.04000473       5.40870300E-04   1.00186598    
  -7.00000477       5.63265290E-04   1.00247073    
  -6.96000481       6.01079490E-04   1.00146878    
  -6.92000484       6.36962242E-04   1.00007880    
  -6.88000488       6.78562850E-04   1.00115633    
  -6.84000492       7.10594817E-04   1.00017393    
  -6.80000496       7.69798527E-04  0.999763250    
  -6.76000500       8.19392619E-04  0.998931766    
  -6.72000504       8.74604622E-04  0.998331726    
  -6.68000507       9.30439681E-04  0.997016609    
  -6.64000511       1.01332297E-03  0.995892107    
  -6.60000515       1.08151371E-03  0.993952274    
  -6.56000519       1.18772907E-03  0.990773439    
  -6.52000523       1.33800704E-03  0.972796619    
  -6.48000526       1.56624138E-03  0.941881001    
  -6.44000530       1.64874678E-03  0.943127275    
  -6.40000534       1.73342926E-03  0.944748759    
  -6.36000538       1.79524440E-03  0.947025299    
  -6.32000542       1.90492161E-03  0.951070964    
  -6.28000546       2.00854219E-03  0.952192307    
  -6.24000549       2.13432405E-03  0.956015289    
  -6.20000553       2.35292921E-03  0.958266199    
  -6.16000557       2.55386136E-03  0.960905015    
  -6.12000561       2.87317135E-03  0.962506413    
  -6.08000565       2.96897860E-03  0.962875903    
  -6.04000568       3.14661697E-03  0.962529421    
  -6.00000572       3.20353289E-03  0.962709069    
  -5.96000576       3.34035628E-03  0.962131679    
  -5.92000580       3.47994664E-03  0.962369382    
  -5.88000584       3.66395433E-03  0.960394323    
  -5.84000587       3.77618754E-03  0.957677901    
  -5.80000591       4.01874818E-03  0.953412354    
  -5.76000595       4.27061040E-03  0.946952701    
  -5.72000599       4.51573636E-03  0.931634963    
  -5.68000603       5.17321005E-03  0.887732148    
  -5.64000607       5.48633933E-03  0.866213500    
  -5.60000610       5.61541226E-03  0.861112833    
  -5.56000614       5.58062177E-03  0.853579700    
  -5.52000618       5.70920249E-03  0.851671278    
  -5.48000622       5.73849073E-03  0.846749783    
