 # 2site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
# parameters: U =  4.00  t = -1.00  W = 12.00
# nbins = 600     ensemble size =    10000000
 #
 # Filling:  0.389739037    
 # Filling Error:   4.38935775E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       5.70629272E-05   1.07482874    
  -11.9600000       6.00084095E-05   1.07813728    
  -11.9200001       6.27826230E-05   1.07438111    
  -11.8800001       6.33042800E-05   1.07760417    
  -11.8400002       6.59884099E-05   1.09002090    
  -11.8000002       6.80269877E-05   1.06954753    
  -11.7600002       7.00278979E-05   1.06730509    
  -11.7200003       7.43349956E-05   1.06134045    
  -11.6800003       7.56533263E-05   1.07417023    
  -11.6400003       7.75144581E-05   1.07766926    
  -11.6000004       8.14345840E-05   1.06394744    
  -11.5600004       8.44288443E-05   1.06409514    
  -11.5200005       8.67588387E-05   1.05372500    
  -11.4800005       9.06841306E-05   1.06554711    
  -11.4400005       9.22691543E-05   1.06108129    
  -11.4000006       9.52657865E-05   1.06975627    
  -11.3600006       9.90658737E-05   1.05861628    
  -11.3200006       1.02977589E-04   1.05140018    
  -11.2800007       1.05184983E-04   1.05505812    
  -11.2400007       1.08897904E-04   1.05859292    
  -11.2000008       1.13952461E-04   1.04670727    
  -11.1600008       1.15534684E-04   1.05069733    
  -11.1200008       1.19994846E-04   1.05802500    
  -11.0800009       1.26556173E-04   1.04745901    
  -11.0400009       1.29060645E-04   1.04015267    
  -11.0000010       1.32207540E-04   1.04298568    
  -10.9600010       1.37352268E-04   1.04682827    
  -10.9200010       1.42129895E-04   1.03645682    
  -10.8800011       1.46939885E-04   1.04647756    
  -10.8400011       1.52652006E-04   1.03208888    
  -10.8000011       1.55081332E-04   1.03734648    
  -10.7600012       1.60831347E-04   1.03210139    
  -10.7200012       1.67754260E-04   1.04266226    
  -10.6800013       1.73800043E-04   1.03850245    
  -10.6400013       1.80446703E-04   1.02901781    
  -10.6000013       1.84675140E-04   1.03346896    
  -10.5600014       1.91917876E-04   1.02979338    
  -10.5200014       2.01006245E-04   1.03537619    
  -10.4800014       2.06462282E-04   1.02364886    
  -10.4400015       2.14234780E-04   1.02848005    
  -10.4000015       2.21721086E-04   1.02134883    
  -10.3600016       2.25939904E-04   1.02354980    
  -10.3200016       2.35963089E-04   1.02777481    
