 # 4 site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
 # parameters: U =  0.00  t = -1.00  W = 12.00
 # nbins = 300     ensemble size =      100000
 #
 # Filling:  0.500235021    
 # Filling Error:   6.43000007E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       7.78397105E-15   1.21936965    
  -11.9200001       7.81588725E-15   1.22454524    
  -11.8400002       8.62377542E-15   1.16128552    
  -11.7600002       7.83756960E-15   1.20094347    
  -11.6800003       8.81764517E-15   1.13674021    
  -11.6000004       8.45045723E-15   1.12053800    
  -11.5200005       8.87427610E-15   1.08924687    
  -11.4400005       8.78594581E-15   1.10168862    
  -11.3600006       9.10645037E-15   1.07781994    
  -11.2800007       9.26237728E-15   1.07090664    
  -11.2000008       9.77438074E-15   1.03342700    
  -11.1200008       1.00164170E-14   1.02510333    
  -11.0400009       9.91770549E-15   1.01392794    
  -10.9600010       1.00616842E-14   1.00693572    
  -10.8800011       1.07160163E-14  0.952142000    
  -10.8000011       1.13452999E-14  0.942428827    
  -10.7200012       1.10562109E-14  0.954538345    
  -10.6400013       1.07421150E-14  0.948115647    
  -10.5600014       1.15641783E-14  0.931452632    
  -10.4800014       1.16670598E-14  0.937165856    
  -10.4000015       1.19981861E-14  0.916499853    
  -10.3200016       1.19516561E-14  0.918033779    
  -10.2400017       1.24231138E-14  0.904482901    
  -10.1600018       1.27789853E-14  0.874578714    
  -10.0800018       1.32540743E-14  0.858975351    
  -10.0000019       1.40024312E-14  0.863308966    
  -9.92000198       1.43395343E-14  0.858522475    
  -9.84000206       1.34070560E-14  0.873993397    
  -9.76000214       1.46486522E-14  0.850274742    
  -9.68000221       1.50053293E-14  0.840237737    
  -9.60000229       1.45773235E-14  0.839726329    
  -9.52000237       1.58357400E-14  0.820574522    
  -9.44000244       1.61052270E-14  0.823382139    
  -9.36000252       1.52465609E-14  0.812390029    
  -9.28000259       1.69671321E-14  0.802950382    
  -9.20000267       1.82372394E-14  0.781199276    
  -9.12000275       1.89050978E-14  0.782178581    
  -9.04000282       1.84981577E-14  0.795742512    
  -8.96000290       2.00084039E-14  0.772855580    
  -8.88000298       1.95865900E-14  0.767429173    
  -8.80000305       2.00550941E-14  0.769723177    
  -8.72000313       2.22204694E-14  0.758147418    
  -8.64000320       2.18917596E-14  0.760904789    
  -8.56000328       2.45647957E-14  0.734699965    
  -8.48000336       2.34151230E-14  0.761936963    
  -8.40000343       2.52689105E-14  0.745359063    
  -8.32000351       2.64421799E-14  0.737763047    
  -8.24000359       2.55035996E-14  0.739976764    
  -8.16000366       2.87422199E-14  0.738326132    
  -8.08000374       2.66556085E-14  0.744392335    
  -8.00000381       3.16705179E-14  0.716961920    
  -7.92000389       3.32675443E-14  0.702735484    
  -7.84000397       2.89088042E-14  0.737799168    
  -7.76000404       3.12500015E-05  0.259542882    
  -7.68000412       3.78305955E-14  0.712237298    
  -7.60000420       1.25000006E-04  0.276874632    
  -7.52000427       2.50000012E-04  0.294270873    
  -7.44000435       5.62500034E-04  0.324196696    
  -7.36000443       6.24999986E-04  0.328441560    
  -7.28000450       1.62500003E-03  0.349645644    
  -7.20000458       3.06250015E-03  0.391092688    
  -7.12000465       4.78124991E-03  0.406332850    
  -7.04000473       7.75000034E-03  0.418775439    
  -6.96000481       1.02187498E-02  0.438846737    
  -6.88000488       1.30624995E-02  0.451700568    
  -6.80000496       1.56250000E-02  0.472716033    
  -6.72000504       1.89687517E-02  0.497207522    
  -6.64000511       2.55937520E-02  0.512349486    
  -6.56000519       3.12187504E-02  0.553482473    
  -6.48000526       3.96874994E-02  0.589282751    
  -6.40000534       4.78437506E-02  0.637847602    
  -6.32000542       6.21250011E-02  0.693564415    
  -6.24000549       7.56250024E-02  0.744759321    
  -6.16000557       7.75625035E-02  0.738700747    
  -6.08000565       7.73750022E-02  0.741528571    
  -6.00000572       7.60937557E-02  0.732333481    
  -5.92000580       7.59687498E-02  0.742740452    
  -5.84000587       7.39687458E-02  0.731609941    
  -5.76000595       7.34999999E-02  0.725624681    
  -5.68000603       6.94999993E-02  0.731202960    
  -5.60000610       7.12187439E-02  0.720317304    
  -5.52000618       7.00312480E-02  0.718964398    
  -5.44000626       7.02812523E-02  0.717575729    
  -5.36000633       6.85312524E-02  0.713860154    
