 # 4 site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
 # parameters: U =  4.00  t =  0.00  W = 12.00
 # nbins = 300     ensemble size =      100000
 #
 # Filling:  0.499728739    
 # Filling Error:   1.00137498E-02
 #
 #  Frequency           DOS            GIPR
  -12.0000000       0.00000000                  NaN
  -11.9200001       0.00000000                  NaN
  -11.8400002       0.00000000                  NaN
  -11.7600002       0.00000000                  NaN
  -11.6800003       0.00000000                  NaN
  -11.6000004       0.00000000                  NaN
  -11.5200005       0.00000000                  NaN
  -11.4400005       0.00000000                  NaN
  -11.3600006       0.00000000                  NaN
  -11.2800007       0.00000000                  NaN
  -11.2000008       0.00000000                  NaN
  -11.1200008       0.00000000                  NaN
  -11.0400009       0.00000000                  NaN
  -10.9600010       0.00000000                  NaN
  -10.8800011       0.00000000                  NaN
  -10.8000011       0.00000000                  NaN
  -10.7200012       0.00000000                  NaN
  -10.6400013       0.00000000                  NaN
  -10.5600014       0.00000000                  NaN
  -10.4800014       0.00000000                  NaN
  -10.4000015       0.00000000                  NaN
  -10.3200016       0.00000000                  NaN
  -10.2400017       0.00000000                  NaN
  -10.1600018       0.00000000                  NaN
  -10.0800018       0.00000000                  NaN
  -10.0000019       0.00000000                  NaN
  -9.92000198       0.00000000                  NaN
  -9.84000206       0.00000000                  NaN
  -9.76000214       0.00000000                  NaN
  -9.68000221       0.00000000                  NaN
  -9.60000229       0.00000000                  NaN
  -9.52000237       0.00000000                  NaN
  -9.44000244       0.00000000                  NaN
  -9.36000252       0.00000000                  NaN
  -9.28000259       0.00000000                  NaN
  -9.20000267       0.00000000                  NaN
  -9.12000275       0.00000000                  NaN
  -9.04000282       0.00000000                  NaN
  -8.96000290       0.00000000                  NaN
  -8.88000298       0.00000000                  NaN
  -8.80000305       0.00000000                  NaN
  -8.72000313       0.00000000                  NaN
  -8.64000320       0.00000000                  NaN
  -8.56000328       0.00000000                  NaN
  -8.48000336       0.00000000                  NaN
  -8.40000343       0.00000000                  NaN
  -8.32000351       0.00000000                  NaN
  -8.24000359       0.00000000                  NaN
  -8.16000366       0.00000000                  NaN
  -8.08000374       0.00000000                  NaN
  -8.00000381       0.00000000                  NaN
  -7.92000389       0.00000000                  NaN
  -7.84000397       0.00000000                  NaN
  -7.76000404       0.00000000                  NaN
  -7.68000412       0.00000000                  NaN
  -7.60000420       0.00000000                  NaN
  -7.52000427       0.00000000                  NaN
  -7.44000435       0.00000000                  NaN
  -7.36000443       0.00000000                  NaN
  -7.28000450       0.00000000                  NaN
  -7.20000458       0.00000000                  NaN
  -7.12000465       0.00000000                  NaN
  -7.04000473       0.00000000                  NaN
  -6.96000481       0.00000000                  NaN
  -6.88000488       0.00000000                  NaN
  -6.80000496       0.00000000                  NaN
  -6.72000504       0.00000000                  NaN
  -6.64000511       0.00000000                  NaN
  -6.56000519       0.00000000                  NaN
  -6.48000526       0.00000000                  NaN
  -6.40000534       0.00000000                  NaN
  -6.32000542       0.00000000                  NaN
  -6.24000549       0.00000000                  NaN
  -6.16000557       0.00000000                  NaN
  -6.08000565       0.00000000                  NaN
  -6.00000572       0.00000000                  NaN
  -5.92000580       0.00000000                  NaN
  -5.84000587       0.00000000                  NaN
  -5.76000595       0.00000000                  NaN
  -5.68000603       0.00000000                  NaN
  -5.60000610       0.00000000                  NaN
  -5.52000618       0.00000000                  NaN
  -5.44000626       0.00000000                  NaN
  -5.36000633       0.00000000                  NaN
  -5.28000641       0.00000000                  NaN
  -5.20000648       0.00000000                  NaN
  -5.12000656       0.00000000                  NaN
  -5.04000664       0.00000000                  NaN
  -4.96000671       0.00000000                  NaN
  -4.88000679       0.00000000                  NaN
  -4.80000687       0.00000000                  NaN
  -4.72000694       0.00000000                  NaN
  -4.64000702       0.00000000                  NaN
  -4.56000710       0.00000000                  NaN
  -4.48000717       0.00000000                  NaN
  -4.40000725       0.00000000                  NaN
  -4.32000732       0.00000000                  NaN
  -4.24000740       0.00000000                  NaN
  -4.16000748       0.00000000                  NaN
  -4.08000755       0.00000000                  NaN
  -4.00000763      0.126015633       1.00000000    
  -3.92000771      0.123609371       1.00000000    
  -3.84000778      0.123140626       1.00000000    
  -3.76000786      0.119703129       1.00000000    
  -3.68000793      0.125656262       1.00000000    
  -3.60000801      0.123328127       1.00000000    
  -3.52000809      0.127203122       1.00000000    
  -3.44000816      0.124796875       1.00000000    
  -3.36000824      0.125843748       1.00000000    
  -3.28000832      0.124000005       1.00000000    
  -3.20000839      0.126406252       1.00000000    
  -3.12000847      0.124234386       1.00000000    
  -3.04000854      0.124156259       1.00000000    
  -2.96000862      0.124234386       1.00000000    
  -2.88000870      0.126578122       1.00000000    
  -2.80000877      0.125109375       1.00000000    
  -2.72000885      0.127546877       1.00000000    
  -2.64000893      0.122843757       1.00000000    
  -2.56000900      0.127703130       1.00000000    
  -2.48000908      0.123421870       1.00000000    
  -2.40000916      0.122859381       1.00000000    
  -2.32000923      0.128421873       1.00000000    
  -2.24000931      0.124718755       1.00000000    
  -2.16000938      0.127281249       1.00000000    
  -2.08000946      0.127625003       1.00000000    
  -2.00000954      0.128906265       1.00000000    
