 # 4 site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
 # parameters: U =  8.00  t = -1.00  W = 12.00
 # nbins = 300     ensemble size =     1000000
 #
 # Filling:  0.499872506    
 # Filling Error:   5.54633373E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       2.17265473E-03   1.84717667    
  -11.9200001       2.22834130E-03   1.79335797    
  -11.8400002       2.33505457E-03   1.71423161    
  -11.7600002       2.39604339E-03   1.65358078    
  -11.6800003       2.50418135E-03   1.59600282    
  -11.6000004       2.58179125E-03   1.54387307    
  -11.5200005       2.65775411E-03   1.51007593    
  -11.4400005       2.77476991E-03   1.45090282    
  -11.3600006       2.91755167E-03   1.39888394    
  -11.2800007       3.00411251E-03   1.36225688    
  -11.2000008       3.14414548E-03   1.30346036    
  -11.1200008       3.27854254E-03   1.26547217    
  -11.0400009       3.41844792E-03   1.21884370    
  -10.9600010       3.54049564E-03   1.18424511    
  -10.8800011       3.68918851E-03   1.15115130    
  -10.8000011       3.85863567E-03   1.11357248    
  -10.7200012       4.07376373E-03   1.08483744    
  -10.6400013       4.25249897E-03   1.06033075    
  -10.5600014       4.39835386E-03   1.03734565    
  -10.4800014       4.62902570E-03   1.01639128    
  -10.4000015       4.89756884E-03  0.998072982    
  -10.3200016       5.21490211E-03  0.971240759    
  -10.2400017       5.51155861E-03  0.962594330    
  -10.1600018       5.76726394E-03  0.946170092    
  -10.0800018       6.23781327E-03  0.932608008    
  -10.0000019       6.67391578E-03  0.921595514    
  -9.92000198       7.16014765E-03  0.911300242    
  -9.84000206       7.73744844E-03  0.903942645    
  -9.76000214       8.41887668E-03  0.897397637    
  -9.68000221       9.10152961E-03  0.896007776    
  -9.60000229       1.00790504E-02  0.893393397    
  -9.52000237       1.11697810E-02  0.894142568    
  -9.44000244       1.17987618E-02  0.890994191    
  -9.36000252       1.22002233E-02  0.891644359    
  -9.28000259       1.26072923E-02  0.888566434    
  -9.20000267       1.30998539E-02  0.888122559    
  -9.12000275       1.32471453E-02  0.884901643    
  -9.04000282       1.36800539E-02  0.880541086    
  -8.96000290       1.38613824E-02  0.878064275    
  -8.88000298       1.43356929E-02  0.874873161    
  -8.80000305       1.45276561E-02  0.868509829    
  -8.72000313       1.49909304E-02  0.860798895    
  -8.64000320       1.55829331E-02  0.853660166    
  -8.56000328       1.61208455E-02  0.846619606    
  -8.48000336       1.67276692E-02  0.844481170    
  -8.40000343       1.73035115E-02  0.836459339    
  -8.32000351       1.78234335E-02  0.832255423    
  -8.24000359       1.83970518E-02  0.829423666    
  -8.16000366       1.89133510E-02  0.823166788    
  -8.08000374       1.95818488E-02  0.817983210    
  -8.00000381       2.00485103E-02  0.814489722    
  -7.92000389       2.07663625E-02  0.811352432    
  -7.84000397       2.09662616E-02  0.808604181    
  -7.76000404       2.13960782E-02  0.806286514    
  -7.68000412       2.18584947E-02  0.801293552    
  -7.60000420       2.20188387E-02  0.797872066    
  -7.52000427       2.24538408E-02  0.793583453    
  -7.44000435       2.27458514E-02  0.790614903    
  -7.36000443       2.27523353E-02  0.787561834    
  -7.28000450       2.29855441E-02  0.784713387    
  -7.20000458       2.31188014E-02  0.780966163    
  -7.12000465       2.35485919E-02  0.779635966    
  -7.04000473       2.35379450E-02  0.774584532    
  -6.96000481       2.38952674E-02  0.769955695    
  -6.88000488       2.42644567E-02  0.757719934    
  -6.80000496       2.48651225E-02  0.749310613    
  -6.72000504       2.53694262E-02  0.744892299    
  -6.64000511       2.61650756E-02  0.734688878    
  -6.56000519       2.69254260E-02  0.727295339    
  -6.48000526       2.71064360E-02  0.718900681    
  -6.40000534       2.76477747E-02  0.713665485    
  -6.32000542       2.83422600E-02  0.708193123    
  -6.24000549       2.89327037E-02  0.699017167    
  -6.16000557       2.94598900E-02  0.694028080    
  -6.08000565       2.99498476E-02  0.686436415    
  -6.00000572       3.04860305E-02  0.682120919    
  -5.92000580       3.13258022E-02  0.676200330    
  -5.84000587       3.21460888E-02  0.666886926    
  -5.76000595       3.26056257E-02  0.660604179    
  -5.68000603       3.33933271E-02  0.655868292    
  -5.60000610       3.38738412E-02  0.646439314    
  -5.52000618       3.39788757E-02  0.642197311    
  -5.44000626       3.45968865E-02  0.636795342    
  -5.36000633       3.51675712E-02  0.628838956    
  -5.28000641       3.58472951E-02  0.622948110    
  -5.20000648       3.62646766E-02  0.616827250    
  -5.12000656       3.66860740E-02  0.609199286    
  -5.04000664       3.74639519E-02  0.601380944    
  -4.96000671       3.77170555E-02  0.597339630    
  -4.88000679       3.82505991E-02  0.588472724    
  -4.80000687       3.88047881E-02  0.582113981    
  -4.72000694       3.97187546E-02  0.576884389    
  -4.64000702       3.97576876E-02  0.573092997    
  -4.56000710       4.04258929E-02  0.563566804    
  -4.48000717       4.08259556E-02  0.560283244    
  -4.40000725       4.22966257E-02  0.552826047    
  -4.32000732       4.23491821E-02  0.544693947    
  -4.24000740       4.30712216E-02  0.539394915    
  -4.16000748       4.37696092E-02  0.533292532    
  -4.08000755       4.44302075E-02  0.526886165    
  -4.00000763       4.47828844E-02  0.519864738    
  -3.92000771       4.51679975E-02  0.515897334    
  -3.84000778       4.60205711E-02  0.508006334    
  -3.76000786       4.60150242E-02  0.502971530    
  -3.68000793       4.73925732E-02  0.499140471    
  -3.60000801       4.74863797E-02  0.493536264    
  -3.52000809       4.76230308E-02  0.487923145    
  -3.44000816       4.82380837E-02  0.483565718    
  -3.36000824       4.88536507E-02  0.479513615    
  -3.28000832       4.97703105E-02  0.476792783    
  -3.20000839       5.13766855E-02  0.472651064    
  -3.12000847       5.38788810E-02  0.469521135    
  -3.04000854       5.60752787E-02  0.468631119    
  -2.96000862       5.84322512E-02  0.471472859    
  -2.88000870       6.23156093E-02  0.478104889    
  -2.80000877       6.79086596E-02  0.489425272    
  -2.72000885       7.41256922E-02  0.502605736    
  -2.64000893       8.00595731E-02  0.518076837    
  -2.56000900       8.51361156E-02  0.531833470    
  -2.48000908       8.94041955E-02  0.542068720    
  -2.40000916       9.30870995E-02  0.552108526    
  -2.32000923       9.54537466E-02  0.555496395    
  -2.24000931       9.67380926E-02  0.551272452    
  -2.16000938       9.89254266E-02  0.548840761    
  -2.08000946      0.100843340      0.544603348    
  -2.00000954      0.104558334      0.537068009    
  -1.92000949      0.106367894      0.530522168    
  -1.84000945      0.108708359      0.525941253    
  -1.76000941      0.109591141      0.519899547    
  -1.68000937      0.110225312      0.515847802    
  -1.60000932      0.110533126      0.512023807    
  -1.52000928      0.111916572      0.507740974    
  -1.44000924      0.114671901      0.503426909    
  -1.36000919      0.114712946      0.499483973    
  -1.28000915      0.116225019      0.494747639    
  -1.20000911      0.116598368      0.491636276    
  -1.12000906      0.117033109      0.487732291    
  -1.04000902      0.116784178      0.482923180    
 -0.960009038      0.116274953      0.478317529    
 -0.880009055      0.113975443      0.475581229    
 -0.800009072      0.113878004      0.472960025    
 -0.720009089      0.111477397      0.473562390    
 -0.640009105      0.108975090      0.472792804    
 -0.560009122      0.106052332      0.473125041    
 -0.480009139      0.101654395      0.471252829    
 -0.400009155       9.84098911E-02  0.469942540    
 -0.320009172       8.96149501E-02  0.463717133    
 -0.240009174       7.91494325E-02  0.464387298    
 -0.160009176       7.39383847E-02  0.466065824    
  -8.00091773E-02   6.89702928E-02  0.466907442    
  -9.17911530E-06   6.93291724E-02  0.466914266    
