 # 4 site DOS and GIPR created by main.f90 with subroutines in routines.f90
 #
 # parameters: U =  0.00  t =  0.00  W = 12.00
 # nbins = 300     ensemble size =     1000000
 #
 # Filling:  0.499770761    
 # Filling Error:   6.70274999E-03
 #
 #  Frequency           DOS            GIPR
  -12.0000000       0.00000000                  NaN
  -11.9200001       0.00000000                  NaN
  -11.8400002       0.00000000                  NaN
  -11.7600002       0.00000000                  NaN
  -11.6800003       0.00000000                  NaN
  -11.6000004       0.00000000                  NaN
  -11.5200005       0.00000000                  NaN
  -11.4400005       0.00000000                  NaN
  -11.3600006       0.00000000                  NaN
  -11.2800007       0.00000000                  NaN
  -11.2000008       0.00000000                  NaN
  -11.1200008       0.00000000                  NaN
  -11.0400009       0.00000000                  NaN
  -10.9600010       0.00000000                  NaN
  -10.8800011       0.00000000                  NaN
  -10.8000011       0.00000000                  NaN
  -10.7200012       0.00000000                  NaN
  -10.6400013       0.00000000                  NaN
  -10.5600014       0.00000000                  NaN
  -10.4800014       0.00000000                  NaN
  -10.4000015       0.00000000                  NaN
  -10.3200016       0.00000000                  NaN
  -10.2400017       0.00000000                  NaN
  -10.1600018       0.00000000                  NaN
  -10.0800018       0.00000000                  NaN
  -10.0000019       0.00000000                  NaN
  -9.92000198       0.00000000                  NaN
  -9.84000206       0.00000000                  NaN
  -9.76000214       0.00000000                  NaN
  -9.68000221       0.00000000                  NaN
  -9.60000229       0.00000000                  NaN
  -9.52000237       0.00000000                  NaN
  -9.44000244       0.00000000                  NaN
  -9.36000252       0.00000000                  NaN
  -9.28000259       0.00000000                  NaN
  -9.20000267       0.00000000                  NaN
  -9.12000275       0.00000000                  NaN
  -9.04000282       0.00000000                  NaN
  -8.96000290       0.00000000                  NaN
  -8.88000298       0.00000000                  NaN
  -8.80000305       0.00000000                  NaN
  -8.72000313       0.00000000                  NaN
  -8.64000320       0.00000000                  NaN
  -8.56000328       0.00000000                  NaN
  -8.48000336       0.00000000                  NaN
  -8.40000343       0.00000000                  NaN
  -8.32000351       0.00000000                  NaN
  -8.24000359       0.00000000                  NaN
  -8.16000366       0.00000000                  NaN
  -8.08000374       0.00000000                  NaN
  -8.00000381       0.00000000                  NaN
  -7.92000389       0.00000000                  NaN
  -7.84000397       0.00000000                  NaN
  -7.76000404       0.00000000                  NaN
  -7.68000412       0.00000000                  NaN
  -7.60000420       0.00000000                  NaN
  -7.52000427       0.00000000                  NaN
  -7.44000435       0.00000000                  NaN
  -7.36000443       0.00000000                  NaN
  -7.28000450       0.00000000                  NaN
  -7.20000458       0.00000000                  NaN
  -7.12000465       0.00000000                  NaN
  -7.04000473       0.00000000                  NaN
  -6.96000481       0.00000000                  NaN
  -6.88000488       0.00000000                  NaN
  -6.80000496       0.00000000                  NaN
  -6.72000504       0.00000000                  NaN
  -6.64000511       0.00000000                  NaN
  -6.56000519       0.00000000                  NaN
  -6.48000526       0.00000000                  NaN
  -6.40000534       0.00000000                  NaN
  -6.32000542       0.00000000                  NaN
  -6.24000549       0.00000000                  NaN
  -6.16000557       0.00000000                  NaN
  -6.08000565       0.00000000                  NaN
  -6.00000572       8.32250044E-02   1.00000000    
  -5.92000580       8.33187476E-02   1.00000000    
  -5.84000587       8.29187557E-02   1.00000000    
  -5.76000595       8.19968805E-02   1.00000000    
  -5.68000603       8.21937546E-02   1.00000000    
  -5.60000610       8.29187557E-02   1.00000000    
  -5.52000618       8.43781233E-02   1.00000000    
  -5.44000626       8.26562569E-02   1.00000000    
  -5.36000633       8.33468735E-02   1.00000000    
  -5.28000641       8.35156292E-02   1.00000000    
  -5.20000648       8.28687549E-02   1.00000000    
  -5.12000656       8.22718814E-02   1.00000000    
  -5.04000664       8.39375034E-02   1.00000000    
  -4.96000671       8.31906274E-02   1.00000000    
  -4.88000679       8.28406289E-02   1.00000000    
  -4.80000687       8.36218819E-02   1.00000000    
  -4.72000694       8.38875026E-02   1.00000000    
  -4.64000702       8.31250027E-02   1.00000000    
  -4.56000710       8.38218778E-02   1.00000000    
  -4.48000717       8.36687535E-02   1.00000000    
  -4.40000725       8.24156329E-02   1.00000000    
  -4.32000732       8.37437510E-02   1.00000000    
  -4.24000740       8.32250044E-02   1.00000000    
  -4.16000748       8.34000036E-02   1.00000000    
  -4.08000755       8.35874975E-02   1.00000000    
  -4.00000763       8.36718753E-02   1.00000000    
  -3.92000771       8.29093754E-02   1.00000000    
  -3.84000778       8.28500018E-02   1.00000000    
  -3.76000786       8.30812529E-02   1.00000000    
  -3.68000793       8.40656236E-02   1.00000000    
  -3.60000801       8.36312473E-02   1.00000000    
  -3.52000809       8.28906298E-02   1.00000000    
  -3.44000816       8.30750018E-02   1.00000000    
  -3.36000824       8.36687535E-02   1.00000000    
  -3.28000832       8.29000026E-02   1.00000000    
  -3.20000839       8.35312456E-02   1.00000000    
  -3.12000847       8.29999968E-02   1.00000000    
  -3.04000854       8.18406269E-02   1.00000000    
  -2.96000862       8.26781318E-02   1.00000000    
  -2.88000870       8.37062523E-02   1.00000000    
  -2.80000877       8.27781260E-02   1.00000000    
  -2.72000885       8.35906267E-02   1.00000000    
  -2.64000893       8.38218778E-02   1.00000000    
