 # created by main.f90 with subroutines in routines.f90
 #
 # parameters: U=  8.00   t= -1.00   W= 12.00
 # nbins= 500  ensemble size=10000000       
 #
 # Filling:  0.500008225    
 # Filling Error:   3.26227117E-03
 #
 #  Frequency           DOS             GIPR
  -12.0000000       2.14411202E-03  0.881531537    
  -11.9519997       2.18547275E-03  0.879924178    
  -11.9039993       2.23988900E-03  0.877967298    
  -11.8559990       2.29447475E-03  0.876080155    
  -11.8079987       2.34580808E-03  0.874503016    
  -11.7599983       2.39354256E-03  0.872955322    
  -11.7119980       2.44433968E-03  0.872408628    
  -11.6639977       2.50260532E-03  0.870498657    
  -11.6159973       2.54781544E-03  0.868929684    
  -11.5679970       2.59880139E-03  0.868305862    
  -11.5199966       2.65836366E-03  0.866656303    
  -11.4719963       2.71855295E-03  0.864687383    
  -11.4239960       2.78851856E-03  0.864116311    
  -11.3759956       2.84648594E-03  0.861100137    
  -11.3279953       2.93075852E-03  0.858847558    
  -11.2799950       3.00432090E-03  0.856631815    
  -11.2319946       3.05443769E-03  0.855663598    
  -11.1839943       3.14706750E-03  0.853983700    
  -11.1359940       3.21606896E-03  0.851642191    
  -11.0879936       3.31864227E-03  0.850444496    
  -11.0399933       3.40944994E-03  0.849418163    
  -10.9919930       3.47083947E-03  0.847203553    
  -10.9439926       3.54710780E-03  0.847082317    
  -10.8959923       3.63739277E-03  0.845084965    
  -10.8479919       3.74015607E-03  0.844505310    
  -10.7999916       3.83896288E-03  0.844293773    
  -10.7519913       3.93672148E-03  0.842958748    
  -10.7039909       4.05150559E-03  0.842388511    
  -10.6559906       4.13681893E-03  0.841498435    
  -10.6079903       4.25847340E-03  0.840836287    
  -10.5599899       4.39481158E-03  0.840255797    
  -10.5119896       4.52169916E-03  0.839679420    
  -10.4639893       4.63232119E-03  0.840133607    
  -10.4159889       4.80115181E-03  0.840636551    
  -10.3679886       4.96868603E-03  0.839800060    
  -10.3199883       5.14508970E-03  0.840700626    
  -10.2719879       5.29924827E-03  0.840135872    
  -10.2239876       5.51455328E-03  0.842296660    
  -10.1759872       5.68924751E-03  0.841834605    
  -10.1279869       5.87723730E-03  0.841663659    
  -10.0799866       6.14660513E-03  0.842487037    
  -10.0319862       6.36387337E-03  0.842308760    
  -9.98398590       6.69043092E-03  0.842763662    
  -9.93598557       6.94671180E-03  0.842719316    
  -9.88798523       7.25075603E-03  0.843698919    
  -9.83998489       7.66308466E-03  0.845364094    
  -9.79198456       8.02722294E-03  0.845781505    
  -9.74398422       8.39244667E-03  0.847241521    
  -9.69598389       8.85989796E-03  0.849233568    
  -9.64798355       9.35350358E-03  0.853091776    
  -9.59998322       9.90625098E-03  0.855478108    
  -9.55198288       1.05101792E-02  0.858659565    
  -9.50398254       1.10418918E-02  0.861508548    
  -9.45598221       1.14987390E-02  0.864387751    
  -9.40798187       1.18120089E-02  0.865480542    
  -9.35998154       1.21042943E-02  0.867539883    
  -9.31198120       1.23409824E-02  0.867960989    
  -9.26398087       1.25331692E-02  0.867507696    
  -9.21598053       1.27542373E-02  0.869154334    
  -9.16798019       1.30488882E-02  0.868899286    
  -9.11997986       1.32534886E-02  0.867474854    
  -9.07197952       1.34454938E-02  0.866719425    
  -9.02397919       1.35879116E-02  0.865748048    
  -8.97597885       1.37779051E-02  0.865048110    
  -8.92797852       1.39549933E-02  0.862988889    
  -8.87997818       1.41074704E-02  0.861832142    
  -8.83197784       1.43144876E-02  0.860524118    
  -8.78397751       1.45785986E-02  0.858402431    
  -8.73597717       1.48841646E-02  0.854063690    
  -8.68797684       1.51861506E-02  0.849700570    
  -8.63997650       1.55053539E-02  0.845814466    
  -8.59197617       1.58205871E-02  0.843068480    
  -8.54397583       1.61851104E-02  0.840716302    
  -8.49597549       1.65481474E-02  0.837912679    
  -8.44797516       1.68265644E-02  0.834261596    
  -8.39997482       1.72154102E-02  0.832846701    
  -8.35197449       1.75479576E-02  0.829306304    
  -8.30397415       1.78409163E-02  0.827642620    
  -8.25597382       1.82110276E-02  0.824646831    
  -8.20797348       1.84532888E-02  0.822682917    
  -8.15997314       1.88328139E-02  0.819337547    
  -8.11197281       1.92915965E-02  0.818068385    
  -8.06397247       1.95345022E-02  0.815681875    
  -8.01597214       1.99800991E-02  0.813274741    
  -7.96797228       2.03124583E-02  0.809824049    
  -7.91997242       2.05860287E-02  0.807516217    
  -7.87197256       2.08758581E-02  0.806213498    
  -7.82397270       2.10844316E-02  0.803460777    
  -7.77597284       2.13790387E-02  0.802603781    
  -7.72797298       2.15696655E-02  0.800502121    
  -7.67997313       2.18347274E-02  0.798343837    
  -7.63197327       2.19751243E-02  0.796735346    
  -7.58397341       2.20510159E-02  0.794867575    
  -7.53597355       2.21201163E-02  0.792768240    
  -7.48797369       2.23994460E-02  0.791931510    
  -7.43997383       2.26591974E-02  0.789281130    
  -7.39197397       2.26036590E-02  0.787034571    
  -7.34397411       2.27916241E-02  0.785411894    
  -7.29597425       2.28968244E-02  0.784227490    
  -7.24797440       2.29135919E-02  0.782123983    
  -7.19997454       2.30241474E-02  0.780052781    
  -7.15197468       2.31926888E-02  0.778614879    
  -7.10397482       2.32483819E-02  0.776748955    
  -7.05597496       2.33475994E-02  0.774436831    
  -7.00797510       2.35240739E-02  0.771742940    
  -6.95997524       2.37606093E-02  0.767190516    
  -6.91197538       2.41634604E-02  0.762420654    
  -6.86397552       2.43924726E-02  0.758073270    
  -6.81597567       2.47862898E-02  0.752252936    
  -6.76797581       2.51244847E-02  0.747992516    
  -6.71997595       2.54496895E-02  0.742363393    
  -6.67197609       2.57314295E-02  0.738883257    
  -6.62397623       2.59532947E-02  0.733298957    
  -6.57597637       2.63228845E-02  0.729393601    
  -6.52797651       2.66621858E-02  0.724552870    
  -6.47997665       2.70256568E-02  0.720624149    
  -6.43197680       2.71319896E-02  0.715439916    
  -6.38397694       2.75621302E-02  0.712452590    
  -6.33597708       2.79735569E-02  0.707786620    
  -6.28797722       2.83924881E-02  0.704328179    
  -6.23997736       2.86422577E-02  0.700083494    
  -6.19197750       2.89374702E-02  0.696665168    
  -6.14397764       2.93290857E-02  0.691827357    
  -6.09597778       2.97640078E-02  0.688334107    
  -6.04797792       3.01815346E-02  0.684212565    
  -5.99997807       3.05632558E-02  0.680010617    
  -5.95197821       3.08582000E-02  0.676817298    
  -5.90397835       3.13173309E-02  0.673350036    
  -5.85597849       3.16254534E-02  0.669032693    
  -5.80797863       3.19099315E-02  0.665367126    
  -5.75997877       3.22806090E-02  0.660996079    
  -5.71197891       3.27402316E-02  0.658463180    
  -5.66397905       3.31275351E-02  0.654088795    
  -5.61597919       3.35829742E-02  0.650781274    
  -5.56797934       3.39887775E-02  0.646191061    
  -5.51997948       3.40342484E-02  0.642426670    
  -5.47197962       3.45295258E-02  0.638703883    
  -5.42397976       3.48258130E-02  0.634882927    
  -5.37597990       3.50182466E-02  0.631495059    
  -5.32798004       3.52644175E-02  0.626942694    
  -5.27998018       3.56297456E-02  0.623373091    
  -5.23198032       3.59435901E-02  0.619094968    
  -5.18398046       3.63805778E-02  0.614919603    
  -5.13598061       3.65288220E-02  0.611524224    
  -5.08798075       3.69760096E-02  0.607592642    
  -5.03998089       3.72500345E-02  0.602839231    
  -4.99198103       3.74948606E-02  0.599772155    
  -4.94398117       3.79374288E-02  0.595247030    
  -4.89598131       3.82187925E-02  0.591486931    
  -4.84798145       3.83831225E-02  0.587469101    
  -4.79998159       3.87985483E-02  0.583994508    
  -4.75198174       3.91884372E-02  0.580208123    
  -4.70398188       3.94669361E-02  0.576318681    
  -4.65598202       3.98644581E-02  0.572587430    
  -4.60798216       4.00454625E-02  0.568992913    
  -4.55998230       4.04268987E-02  0.564947963    
