 # created by main.f90 with subroutines in routines.f90
 #
 # parameters: U=  8.00   t= -1.00   W= 12.00
 # nbins= 240  ensemble size=8300           
 #
 # Filling:  0.500948906    
 # Filling Error:   6.48622680E-03
 #
 #  Frequency           DOS             GIPR
  -12.0000000       2.08745315E-03   1.58710968    
  -11.8999996       2.12325202E-03   1.51615727    
  -11.7999992       2.25338223E-03   1.44141722    
  -11.6999979       2.37917574E-03   1.36103094    
  -11.5999994       2.45876587E-03   1.30695844    
  -11.4999981       2.62973108E-03   1.23225057    
  -11.3999977       2.70533515E-03   1.19049609    
  -11.2999983       2.93666986E-03   1.13189626    
  -11.1999979       3.12925735E-03   1.09551620    
  -11.0999985       3.27286450E-03   1.06481612    
  -10.9999962       3.53933801E-03   1.01542556    
  -10.8999958       3.84424953E-03  0.985859036    
  -10.7999954       3.87028302E-03  0.968207896    
  -10.6999950       4.17980505E-03  0.943205774    
  -10.5999956       4.56337770E-03  0.902803361    
  -10.4999943       5.19104581E-03  0.874985337    
  -10.3999939       5.57404384E-03  0.851026773    
  -10.2999945       5.86743699E-03  0.823937654    
  -10.1999941       6.50308747E-03  0.815559745    
  -10.0999928       7.14493403E-03  0.793683290    
  -9.99999237       7.73802260E-03  0.775161803    
  -9.89999294       8.65923986E-03  0.766580760    
  -9.79999256       9.25101060E-03  0.750799835    
  -9.69999123       1.04421787E-02  0.739241481    
  -9.59999180       1.13945538E-02  0.728904903    
  -9.49999142       1.20643880E-02  0.723699033    
  -9.39999008       1.26081463E-02  0.699998140    
  -9.29998970       1.31749585E-02  0.688680589    
  -9.19998837       1.41196707E-02  0.687986195    
  -9.09998894       1.44663723E-02  0.674258173    
  -8.99998856       1.51639059E-02  0.663211226    
  -8.89998913       1.55124525E-02  0.649620891    
  -8.79998779       1.65987723E-02  0.639893293    
  -8.69998646       1.65884662E-02  0.633202612    
  -8.59998703       1.73150562E-02  0.628542244    
  -8.49998665       1.77662484E-02  0.617837131    
  -8.39998627       1.78038999E-02  0.603892803    
  -8.29998684       1.87482275E-02  0.602568984    
  -8.19998455       1.93276946E-02  0.594451666    
  -8.09998512       2.03276724E-02  0.584772110    
  -7.99998474       2.03800574E-02  0.573872447    
