 # created by main.f90 with subroutines in routines.f90
 #
 # parameters: U=  8.00   t= -1.00   W= 12.00
 # nbins= 120 ensemble size=8500
 #
 # Filling:  0.500619531
 # Filling Error:   5.98559948E-03
 #
 #  Frequency           DOS             GIPR
  -12.0000000       2.10952875E-03  0.594905138    
  -11.7999992       2.29294039E-03  0.595340729    
  -11.5999994       2.56412569E-03  0.596997499    
  -11.3999987       2.87860329E-03  0.601797104    
  -11.1999989       3.10187927E-03  0.599712312    
  -10.9999981       3.52788158E-03  0.610151052    
  -10.7999964       4.05620178E-03  0.619200826    
  -10.5999956       4.74462472E-03  0.626409709    
  -10.3999958       5.53311454E-03  0.632474542    
  -10.1999941       6.75688777E-03  0.649995327    
  -9.99999237       8.00706446E-03  0.655804217    
  -9.79998970       9.71648842E-03  0.664042115    
  -9.59998989       1.12145031E-02  0.653177619    
  -9.39999008       1.27784442E-02  0.643362880    
  -9.19999027       1.41181666E-02  0.632733107    
  -8.99998760       1.59540623E-02  0.617748380    
  -8.79998589       1.65331177E-02  0.605506182    
  -8.59998608       1.75907873E-02  0.598798871    
  -8.39998531       1.85917653E-02  0.577719808    
  -8.19998455       1.91501230E-02  0.562072277    
  -7.99998522       2.04209927E-02  0.543736458    
  -7.79998541       2.13427991E-02  0.526344061    
  -7.59998465       2.24291682E-02  0.512288332    
  -7.39998484       2.39127353E-02  0.493870139    
  -7.19998503       2.56198775E-02  0.478878200    
  -6.99998474       2.74137519E-02  0.456939936    
  -6.79998493       2.92580258E-02  0.432704091    
  -6.59998465       3.01102884E-02  0.424224913    
  -6.39998674       3.12794074E-02  0.404781699    
  -6.19998598       3.31186876E-02  0.392543197    
  -5.99998665       3.56428884E-02  0.371154755    
  -5.79998684       3.63233238E-02  0.360538006    
  -5.59998655       3.81267443E-02  0.353803217    
  -5.39998722       3.97701487E-02  0.344366550    
  -5.19998646       3.97382453E-02  0.339534819    
  -4.99998713       4.17552404E-02  0.334392458    
  -4.79998827       4.20601666E-02  0.326593012    
  -4.59998798       4.48132381E-02  0.326258063    
