 # created by main.f90 with subroutines in routines.f90
 #
 # parameters: U=  8.00   t= -1.00   W= 12.00
 # nbins= 240 ensemble size=1000           
 #
 # Filling:  0.502257526    
 # Filling Error:   6.74599176E-03
 #
 #  Frequency           DOS             GIPR
  -12.0000000       2.09163688E-03   1.49986482    
  -11.8999996       2.07698834E-03   1.48570335    
  -11.7999992       2.33848579E-03   1.32618773    
  -11.6999989       2.38315668E-03   1.28093207    
  -11.5999985       2.51895306E-03   1.25140691    
  -11.4999981       2.69609620E-03   1.14027870    
  -11.3999977       2.83077289E-03   1.16250610    
  -11.2999973       3.16184922E-03   1.13835943    
  -11.1999969       3.13844206E-03   1.10689175    
  -11.0999966       3.46733723E-03   1.07546651    
  -10.9999962       3.73875583E-03  0.991653502    
  -10.8999958       4.03367868E-03  0.991418719    
  -10.7999954       3.84173333E-03  0.968829095    
  -10.6999950       4.13339771E-03  0.910976112    
  -10.5999947       4.20165109E-03  0.895902812    
  -10.4999943       4.84711304E-03  0.854120791    
  -10.3999939       5.69211366E-03  0.830175102    
  -10.2999935       5.62911341E-03  0.803965569    
  -10.1999931       6.26326492E-03  0.811136782    
  -10.0999928       6.97236601E-03  0.778933525    
  -9.99999237       7.47307204E-03  0.756396234    
  -9.89999199       8.51599872E-03  0.753193796    
  -9.79999161       9.21594817E-03  0.726239502    
  -9.69999123       1.02911154E-02  0.726194680    
  -9.59999084       1.23471506E-02  0.727006733    
  -9.49999046       1.25393448E-02  0.728925824    
  -9.39999008       1.30145065E-02  0.696055174    
  -9.29998970       1.32936938E-02  0.691256046    
  -9.19998932       1.50548238E-02  0.687208891    
  -9.09998894       1.42499963E-02  0.664660215    
  -8.99998856       1.51009448E-02  0.651563048    
  -8.89998817       1.49695799E-02  0.647709012    
  -8.79998779       1.64440870E-02  0.629705966    
  -8.69998741       1.63735729E-02  0.629399836    
  -8.59998703       1.88484304E-02  0.623656988    
  -8.49998665       1.75274573E-02  0.641348541    
  -8.39998627       1.76545586E-02  0.609367490    
  -8.29998589       1.82847958E-02  0.602290094    
  -8.19998550       1.89387277E-02  0.595297515    
  -8.09998512       1.90207809E-02  0.587977648    
  -7.99998522       1.97063480E-02  0.582634926    
  -7.89998531       2.12953314E-02  0.560979128    
  -7.79998541       2.18220465E-02  0.543923259    
  -7.69998550       2.26990599E-02  0.551669478    
